city,currency,listing_count,review_count,median_price_usd,p25_price_usd,p75_price_usd,avg_rating
Paris,EUR,64690,1213727,91.22,67.27,136.83,93.06
New York,USD,37012,847727,99.0,60.0,151.0,93.77
Sydney,AUD,33630,482552,82.64,50.96,150.83,93.23
Rome,EUR,27647,1113360,74.12,51.31,112.88,93.52
Rio de Janeiro,BRL,26615,323274,54.28,30.44,106.63,94.57
Istanbul,TRY,24519,194013,35.95,21.4,64.06,91.06
Mexico City,MXN,20065,477584,30.76,18.2,52.31,94.84
Bangkok,THB,19361,284342,35.15,22.37,60.71,93.0
Cape Town,ZAR,19086,302336,64.95,39.49,133.67,94.4
Hong Kong,HKD,7087,134228,49.77,31.98,90.25,89.71
