city,room_type,listing_count,median_price_usd,avg_rating,value_index
Bangkok,Shared room,725,14.38,93.1,0.9576
Mexico City,Shared room,381,13.96,92.56,0.9554
Mexico City,Private room,8890,18.62,94.35,0.9549
Rio de Janeiro,Shared room,612,19.39,93.08,0.9454
Hong Kong,Shared room,430,24.05,92.73,0.932
Istanbul,Shared room,683,14.27,88.74,0.9317
Rio de Janeiro,Private room,6619,31.02,95.02,0.929
Istanbul,Private room,10605,23.26,90.9,0.9229
Rome,Shared room,200,22.81,89.14,0.9135
Rio de Janeiro,Hotel room,99,35.48,94.21,0.9133
Cape Town,Shared room,127,17.13,86.82,0.9133
Bangkok,Private room,6993,31.96,91.91,0.908
Bangkok,Entire place,10623,38.09,93.64,0.9036
Cape Town,Private room,4503,37.79,92.76,0.899
Mexico City,Entire place,10548,44.21,95.23,0.8983
Sydney,Shared room,594,26.86,87.29,0.8926
Bangkok,Hotel room,1020,40.61,91.48,0.8845
Paris,Shared room,424,38.77,90.55,0.8834
New York,Shared room,686,45.0,91.97,0.8769
Sydney,Private room,12445,46.83,92.41,0.8751
Hong Kong,Private room,3888,38.68,88.1,0.8689
Istanbul,Entire place,12429,49.94,91.42,0.8616
Mexico City,Hotel room,246,56.01,93.11,0.8571
Rome,Private room,8923,55.87,92.69,0.855
Paris,Private room,7492,60.43,93.61,0.8495
New York,Private room,16630,60.0,93.01,0.8469
Istanbul,Hotel room,802,46.23,87.33,0.846
Rio de Janeiro,Entire place,19285,67.86,94.47,0.8366
Hong Kong,Hotel room,180,58.02,88.07,0.822
Cape Town,Entire place,14150,78.22,94.84,0.8138
Rome,Hotel room,1276,68.42,90.84,0.8135
Rome,Entire place,17248,87.8,94.07,0.7861
Cape Town,Hotel room,306,82.05,91.34,0.7836
Hong Kong,Entire place,2589,88.96,91.35,0.7669
Paris,Entire place,55378,93.5,93.04,0.7661
Sydney,Hotel room,233,102.62,90.57,0.7293
Sydney,Entire place,20358,121.21,93.77,0.7036
New York,Entire place,19397,140.0,94.51,0.6627
New York,Hotel room,299,150.0,88.45,0.6022
Paris,Hotel room,1396,179.59,91.74,0.5504
