city,latitude,longitude,listing_count
Bangkok,13.74,100.56,692
Bangkok,13.76,100.5,542
Bangkok,13.72,100.58,479
Bangkok,13.75,100.56,469
Bangkok,13.73,100.57,453
Bangkok,13.77,100.58,407
Bangkok,13.75,100.53,401
Bangkok,13.71,100.6,394
Bangkok,13.73,100.53,356
Bangkok,13.75,100.54,334
Bangkok,13.72,100.52,333
Bangkok,13.74,100.55,305
Bangkok,13.72,100.53,293
Bangkok,13.73,100.56,260
Bangkok,13.73,100.58,253
Bangkok,13.75,100.55,243
Bangkok,13.73,100.52,243
Bangkok,13.74,100.59,237
Bangkok,13.72,100.57,234
Bangkok,13.74,100.57,231
Bangkok,13.76,100.57,225
Bangkok,13.71,100.59,223
Bangkok,13.71,100.52,222
Bangkok,13.76,100.54,217
Bangkok,13.72,100.55,214
Bangkok,13.72,100.59,203
Bangkok,13.69,100.61,200
Bangkok,13.72,100.5,198
Bangkok,13.78,100.58,197
Bangkok,13.68,100.61,189
Bangkok,13.74,100.58,185
Bangkok,13.76,100.56,185
Bangkok,13.72,100.49,172
Bangkok,13.7,100.59,168
Bangkok,13.7,100.6,168
Bangkok,13.75,100.5,168
Bangkok,13.78,100.57,157
Bangkok,13.74,100.51,146
Bangkok,13.71,100.58,145
Bangkok,13.79,100.55,144
Bangkok,13.78,100.54,142
Bangkok,13.72,100.51,141
Bangkok,13.7,100.61,125
Bangkok,13.73,100.59,120
Bangkok,13.74,100.54,117
Bangkok,13.75,100.57,117
Bangkok,13.8,100.57,112
Bangkok,13.75,100.58,105
Bangkok,13.8,100.51,102
Bangkok,13.72,100.54,98
Bangkok,13.77,100.57,96
Bangkok,13.79,100.57,94
Bangkok,13.77,100.5,93
Bangkok,13.73,100.6,92
Bangkok,13.73,100.54,92
Bangkok,13.67,100.6,88
Bangkok,13.81,100.57,88
Bangkok,13.74,100.52,84
Bangkok,13.79,100.58,84
Bangkok,13.75,100.61,82
Bangkok,13.82,100.53,82
Bangkok,13.71,100.51,81
Bangkok,13.77,100.59,77
Bangkok,13.72,100.48,75
Bangkok,13.69,100.6,72
Bangkok,13.73,100.51,71
Bangkok,13.76,100.53,70
Bangkok,13.81,100.56,68
Bangkok,13.74,100.6,67
Bangkok,13.81,100.53,65
Bangkok,13.72,100.56,63
Bangkok,13.74,100.64,63
Bangkok,13.71,100.53,60
Bangkok,13.66,100.61,59
Bangkok,13.72,100.73,58
Bangkok,13.71,100.45,57
Bangkok,13.7,100.54,57
Bangkok,13.83,100.57,56
Bangkok,13.71,100.61,55
Bangkok,13.8,100.56,55
Bangkok,13.76,100.51,54
Bangkok,13.77,100.54,51
Bangkok,13.71,100.47,51
Bangkok,13.71,100.5,48
Bangkok,13.83,100.53,47
Bangkok,13.8,100.58,47
Bangkok,13.78,100.55,47
Bangkok,13.72,100.72,46
Bangkok,13.71,100.48,44
Bangkok,13.75,100.52,44
Bangkok,13.7,100.53,43
Bangkok,13.89,100.58,43
Bangkok,13.72,100.6,42
Bangkok,13.76,100.65,41
Bangkok,13.75,100.51,41
Bangkok,13.77,100.48,40
Bangkok,13.79,100.54,40
Bangkok,13.8,100.55,38
Bangkok,13.75,100.6,38
Bangkok,13.76,100.49,38
Bangkok,13.67,100.61,37
Bangkok,13.79,100.56,37
Bangkok,13.66,100.6,37
Bangkok,13.72,100.46,36
Bangkok,13.82,100.57,34
Bangkok,13.92,100.6,34
Bangkok,13.78,100.48,34
Bangkok,13.82,100.58,34
Bangkok,13.68,100.62,33
Bangkok,13.77,100.49,33
Bangkok,13.72,100.62,33
Bangkok,13.76,100.64,33
Bangkok,13.76,100.58,32
Bangkok,13.69,100.64,31
Bangkok,13.7,100.5,31
Bangkok,13.75,100.59,31
Bangkok,13.68,100.6,31
Bangkok,13.8,100.59,31
Bangkok,13.83,100.56,30
Bangkok,13.72,100.74,30
Bangkok,13.78,100.49,29
Bangkok,13.66,100.63,29
Bangkok,13.73,100.47,29
Bangkok,13.74,100.63,29
Bangkok,13.69,100.62,29
Bangkok,13.73,100.48,29
Bangkok,13.93,100.6,28
Bangkok,13.77,100.55,28
Bangkok,13.67,100.64,28
Bangkok,13.76,100.52,28
Bangkok,13.75,100.63,27
Bangkok,13.84,100.58,27
Bangkok,13.71,100.54,27
Bangkok,13.81,100.58,27
Bangkok,13.82,100.56,27
Bangkok,13.71,100.38,27
Bangkok,13.71,100.63,26
Bangkok,13.77,100.64,26
Bangkok,13.76,100.55,25
Bangkok,13.77,100.47,25
Bangkok,13.7,100.52,24
Bangkok,13.93,100.59,24
Bangkok,13.88,100.59,23
Bangkok,13.68,100.63,23
Bangkok,13.69,100.49,22
Bangkok,13.7,100.65,22
Bangkok,13.75,100.49,22
Bangkok,13.82,100.54,22
Bangkok,13.81,100.52,21
Bangkok,13.73,100.64,21
Bangkok,13.75,100.48,21
Bangkok,13.7,100.51,20
Bangkok,13.66,100.62,20
Bangkok,13.82,100.59,20
Bangkok,13.75,100.47,20
Bangkok,13.74,100.5,20
Bangkok,13.74,100.49,20
Bangkok,13.68,100.52,19
Bangkok,13.68,100.53,19
Bangkok,13.89,100.61,19
Bangkok,13.71,100.64,19
Bangkok,13.72,100.45,19
Bangkok,13.78,100.56,19
Bangkok,13.89,100.56,19
Bangkok,13.78,100.63,18
Bangkok,13.67,100.65,18
Bangkok,13.68,100.64,18
Bangkok,13.76,100.47,18
Bangkok,13.77,100.6,18
Bangkok,13.88,100.6,18
Bangkok,13.68,100.55,17
Bangkok,13.74,100.62,17
Bangkok,13.79,100.63,17
Bangkok,13.78,100.53,17
Bangkok,13.71,100.43,16
Bangkok,13.75,100.65,16
Bangkok,13.79,100.61,16
Bangkok,13.79,100.59,16
Bangkok,13.77,100.63,16
Bangkok,13.78,100.6,16
Bangkok,13.79,100.6,16
Bangkok,13.79,100.71,16
Bangkok,13.9,100.59,16
Bangkok,13.76,100.62,15
Bangkok,13.85,100.65,15
Bangkok,13.77,100.53,15
Bangkok,13.66,100.64,15
Bangkok,13.83,100.54,15
Bangkok,13.74,100.48,15
Bangkok,13.76,100.48,15
Bangkok,13.84,100.59,15
Bangkok,13.78,100.52,15
Bangkok,13.69,100.52,15
Bangkok,13.73,100.49,14
Bangkok,13.74,100.65,14
Bangkok,13.73,100.55,14
Bangkok,13.73,100.5,14
Bangkok,13.71,100.55,14
Bangkok,13.71,100.49,14
Bangkok,13.81,100.54,14
Bangkok,13.92,100.58,14
Bangkok,13.73,100.69,14
Bangkok,13.71,100.62,13
Bangkok,13.73,100.7,13
Bangkok,13.89,100.6,13
Bangkok,13.75,100.64,13
Bangkok,13.76,100.61,13
Bangkok,13.72,100.65,13
Bangkok,13.67,100.54,13
Bangkok,13.67,100.62,13
Bangkok,13.92,100.59,13
Bangkok,13.74,100.45,12
Bangkok,13.77,100.56,12
Bangkok,13.69,100.63,12
Bangkok,13.69,100.54,12
Bangkok,13.84,100.57,12
Bangkok,13.78,100.64,12
