city,review_month,review_count,baseline_2019_avg,recovery_index
Bangkok,2010-09,1,8390.92,0.0
Bangkok,2010-12,1,8390.92,0.0
Bangkok,2011-02,2,8390.92,0.0
Bangkok,2011-03,1,8390.92,0.0
Bangkok,2011-06,2,8390.92,0.0
Bangkok,2011-08,3,8390.92,0.0
Bangkok,2011-10,3,8390.92,0.0
Bangkok,2011-11,1,8390.92,0.0
Bangkok,2011-12,7,8390.92,0.001
Bangkok,2012-01,12,8390.92,0.001
Bangkok,2012-02,13,8390.92,0.002
Bangkok,2012-03,16,8390.92,0.002
Bangkok,2012-04,13,8390.92,0.002
Bangkok,2012-05,18,8390.92,0.002
Bangkok,2012-06,33,8390.92,0.004
Bangkok,2012-07,30,8390.92,0.004
Bangkok,2012-08,23,8390.92,0.003
Bangkok,2012-09,27,8390.92,0.003
Bangkok,2012-10,33,8390.92,0.004
Bangkok,2012-11,45,8390.92,0.005
Bangkok,2012-12,73,8390.92,0.009
Bangkok,2013-01,81,8390.92,0.01
Bangkok,2013-02,79,8390.92,0.009
Bangkok,2013-03,81,8390.92,0.01
Bangkok,2013-04,84,8390.92,0.01
Bangkok,2013-05,59,8390.92,0.007
Bangkok,2013-06,56,8390.92,0.007
Bangkok,2013-07,77,8390.92,0.009
Bangkok,2013-08,86,8390.92,0.01
Bangkok,2013-09,78,8390.92,0.009
Bangkok,2013-10,84,8390.92,0.01
Bangkok,2013-11,165,8390.92,0.02
Bangkok,2013-12,191,8390.92,0.023
Bangkok,2014-01,234,8390.92,0.028
Bangkok,2014-02,174,8390.92,0.021
Bangkok,2014-03,187,8390.92,0.022
Bangkok,2014-04,192,8390.92,0.023
Bangkok,2014-05,153,8390.92,0.018
Bangkok,2014-06,138,8390.92,0.016
Bangkok,2014-07,210,8390.92,0.025
Bangkok,2014-08,263,8390.92,0.031
Bangkok,2014-09,269,8390.92,0.032
Bangkok,2014-10,313,8390.92,0.037
Bangkok,2014-11,448,8390.92,0.053
Bangkok,2014-12,599,8390.92,0.071
Bangkok,2015-01,740,8390.92,0.088
Bangkok,2015-02,676,8390.92,0.081
Bangkok,2015-03,670,8390.92,0.08
Bangkok,2015-04,664,8390.92,0.079
Bangkok,2015-05,705,8390.92,0.084
Bangkok,2015-06,762,8390.92,0.091
Bangkok,2015-07,946,8390.92,0.113
Bangkok,2015-08,1093,8390.92,0.13
Bangkok,2015-09,858,8390.92,0.102
Bangkok,2015-10,976,8390.92,0.116
Bangkok,2015-11,1246,8390.92,0.148
Bangkok,2015-12,1628,8390.92,0.194
Bangkok,2016-01,1958,8390.92,0.233
Bangkok,2016-02,2083,8390.92,0.248
Bangkok,2016-03,1738,8390.92,0.207
Bangkok,2016-04,1765,8390.92,0.21
Bangkok,2016-05,1736,8390.92,0.207
Bangkok,2016-06,1724,8390.92,0.205
Bangkok,2016-07,2078,8390.92,0.248
Bangkok,2016-08,2331,8390.92,0.278
Bangkok,2016-09,2037,8390.92,0.243
Bangkok,2016-10,1976,8390.92,0.235
Bangkok,2016-11,2353,8390.92,0.28
Bangkok,2016-12,2983,8390.92,0.356
Bangkok,2017-01,3862,8390.92,0.46
Bangkok,2017-02,3442,8390.92,0.41
Bangkok,2017-03,3099,8390.92,0.369
Bangkok,2017-04,3226,8390.92,0.384
Bangkok,2017-05,3013,8390.92,0.359
Bangkok,2017-06,3267,8390.92,0.389
Bangkok,2017-07,3977,8390.92,0.474
Bangkok,2017-08,4159,8390.92,0.496
Bangkok,2017-09,3450,8390.92,0.411
Bangkok,2017-10,3388,8390.92,0.404
Bangkok,2017-11,3762,8390.92,0.448
Bangkok,2017-12,4619,8390.92,0.55
Bangkok,2018-01,5567,8390.92,0.663
Bangkok,2018-02,5388,8390.92,0.642
Bangkok,2018-03,4937,8390.92,0.588
Bangkok,2018-04,4698,8390.92,0.56
Bangkok,2018-05,4479,8390.92,0.534
Bangkok,2018-06,4857,8390.92,0.579
Bangkok,2018-07,5571,8390.92,0.664
Bangkok,2018-08,5714,8390.92,0.681
Bangkok,2018-09,5048,8390.92,0.602
Bangkok,2018-10,4949,8390.92,0.59
Bangkok,2018-11,6383,8390.92,0.761
Bangkok,2018-12,7464,8390.92,0.89
Bangkok,2019-01,8894,8390.92,1.06
Bangkok,2019-02,8343,8390.92,0.994
Bangkok,2019-03,7656,8390.92,0.912
Bangkok,2019-04,7493,8390.92,0.893
Bangkok,2019-05,6974,8390.92,0.831
Bangkok,2019-06,7559,8390.92,0.901
Bangkok,2019-07,8113,8390.92,0.967
Bangkok,2019-08,8782,8390.92,1.047
Bangkok,2019-09,8182,8390.92,0.975
Bangkok,2019-10,8106,8390.92,0.966
Bangkok,2019-11,9499,8390.92,1.132
Bangkok,2019-12,11090,8390.92,1.322
Bangkok,2020-01,12933,8390.92,1.541
Bangkok,2020-02,8903,8390.92,1.061
Bangkok,2020-03,5478,8390.92,0.653
Bangkok,2020-04,1007,8390.92,0.12
Bangkok,2020-05,608,8390.92,0.072
Bangkok,2020-06,781,8390.92,0.093
Bangkok,2020-07,889,8390.92,0.106
Bangkok,2020-08,800,8390.92,0.095
Bangkok,2020-09,796,8390.92,0.095
Bangkok,2020-10,618,8390.92,0.074
Bangkok,2020-11,620,8390.92,0.074
Bangkok,2020-12,642,8390.92,0.077
Bangkok,2021-01,597,8390.92,0.071
