city,neighbourhood,listing_count,median_price_usd,avg_rating
Istanbul,Sancaktepe,53,21.12,100.0
Rio de Janeiro,Engenho Novo,36,20.94,99.0
Rio de Janeiro,Alto da Boa Vista,43,156.46,98.86
Rio de Janeiro,Cosme Velho,84,53.02,97.78
Cape Town,Ward 109,51,72.91,97.71
Bangkok,Bueng Kum,65,31.96,97.65
New York,Rockaway Beach,46,120.0,97.37
Cape Town,Ward 69,420,105.17,97.31
New York,DUMBO,30,173.0,97.14
New York,Brooklyn Heights,109,150.0,97.11
Istanbul,Esenler,53,11.41,96.92
Bangkok,Thung khru,31,32.69,96.89
Rio de Janeiro,Sao Cristovao,81,32.76,96.89
New York,Columbia St,34,141.0,96.82
New York,Parkchester,36,71.0,96.78
New York,Glendale,47,55.0,96.75
Cape Town,Ward 61,824,85.06,96.74
Cape Town,Ward 62,612,121.51,96.73
New York,Carroll Gardens,169,150.0,96.62
Rio de Janeiro,Gavea,194,67.86,96.59
Cape Town,Ward 71,302,104.81,96.56
New York,South Slope,208,124.0,96.52
New York,NoHo,48,205.0,96.5
New York,Cobble Hill,71,150.0,96.43
Hong Kong,Sha Tin,51,50.03,96.28
Bangkok,Taling Chan,46,56.72,96.27
Sydney,Pittwater,1165,274.79,96.26
Rio de Janeiro,Barra de Guaratiba,56,60.1,96.25
Rio de Janeiro,Rio Comprido,91,38.77,96.22
Rio de Janeiro,Todos os Santos,30,43.62,96.21
Cape Town,Ward 84,323,60.76,96.21
New York,Boerum Hill,136,140.0,96.21
Hong Kong,Tuen Mun,33,51.57,96.19
Cape Town,Ward 112,102,52.55,96.14
Hong Kong,Sai Kung,84,64.47,96.08
Rio de Janeiro,Jardim Botanico,204,58.16,96.0
Rio de Janeiro,Vila Isabel,188,31.21,95.97
New York,Civic Center,38,151.0,95.94
New York,Prospect Heights,229,108.0,95.92
New York,Park Slope,360,132.0,95.9
Rio de Janeiro,Humaita,168,50.31,95.88
New York,Windsor Terrace,85,100.0,95.88
Istanbul,Silivri,45,107.01,95.88
Cape Town,Ward 74,981,112.83,95.87
Cape Town,Ward 14,40,74.43,95.83
Cape Town,Ward 85,69,57.72,95.79
New York,Greenpoint,807,102.0,95.79
Sydney,Sutherland Shire,510,96.76,95.78
