TransactionID,CustomerID,TransactionDate,Year,Quarter,MonthNumber,MonthName,YearMonth,MonthStart,Season,TransactionType,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,RateToUSD,FXRateDate,RateSource,AmountOriginal,AmountUSD,CreditCardFeesOriginal,CreditCardFeesUSD,InsuranceFeesOriginal,InsuranceFeesUSD,LatePaymentAmountOriginal,LatePaymentAmountUSD,TotalFeesOriginal,TotalFeesUSD,FeeRate,HasFeeFriction,HasLatePayment,CustomerScore,CreditScoreBand,MonthlyIncome,MonthlyIncomeBand,CustomerSegment,TransactionValueBandUSD,RecommendedOffer,FeeBurdenZScore,HighFeeBurdenFlag
1,8270,2025-01-29,2025,Q1,1,Jan,2025-01,2025-01-01,Winter,Card Payment,Checking Account,Gold,Seville,37.3891,-5.9845,Branch,EUR,1.0396,2025-01-29,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",6980.185223290763,7256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,839,Exceptional,5767.68,3k-6k,Middle Income Segment,5k-10k,Mid-tier Savings Booster,-0.6403,False
2,1860,2023-02-10,2023,Q1,2,Feb,2023-02,2023-02-01,Winter,Deposit,Mortgage,Gold,Murcia,37.9847,-1.1287,Branch,EUR,1.069,2023-02-10,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",10786.37185401874,11530.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,683,Good,2441.0,Under 3k,Low Income Segment,10k+,Financial Literacy Program Access,-0.6196,False
3,6390,2024-03-07,2024,Q1,3,Mar,2024-03,2024-03-01,Spring,Transfer,Loan,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,1.0895,2024-03-07,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",3982.761110763336,4339.22,0.0,0.0,92.46,100.74,0.0,0.0,92.46,100.74,0.023216,True,False,500,Poor,9957.08,6k-10k,High Income Segment,1k-5k,Premium Investment Services,1.232,False
4,6191,2023-07-04,2023,Q3,7,Jul,2023-07,2023-07-01,Summer,Withdrawal,Mortgage,Standard,Seville,37.3891,-5.9845,ATM,EUR,1.0895,2023-07-04,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",12408.6441357312,13519.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,392,Poor,1545.8,Under 3k,Low Income Segment,10k+,Financial Literacy Program Access,-0.6196,False
5,6734,2025-02-05,2025,Q1,2,Feb,2025-02,2025-02-01,Winter,Fee,Checking Account,Platinum,Murcia,37.9847,-1.1287,Mobile,USD,1.0,2025-02-05,Native USD; no conversion applied,1868.260998018309,1868.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,368,Poor,5825.27,3k-6k,Middle Income Segment,1k-5k,Mid-tier Savings Booster,-0.6403,False
6,7265,2023-09-30,2023,Q3,9,Sep,2023-09,2023-09-01,Autumn,Card Payment,Savings Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,1.0594,2023-09-29,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",3165.15062990132,3353.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,793,Very Good,6234.59,6k-10k,Middle Income Segment,1k-5k,Mid-tier Savings Booster,-0.6403,False
7,1466,2023-02-11,2023,Q1,2,Feb,2023-02,2023-02-01,Winter,Fee,Savings Account,Student,Seville,37.3891,-5.9845,Mobile,EUR,1.069,2023-02-10,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",4771.08753934117,5100.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,441,Poor,6436.8,6k-10k,Middle Income Segment,5k-10k,Mid-tier Savings Booster,-0.6403,False
8,5426,2024-01-14,2024,Q1,1,Jan,2024-01,2024-01-01,Winter,Deposit,Checking Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,1.0942,2024-01-12,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",4484.8557186646,4907.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,419,Poor,1576.34,Under 3k,Low Income Segment,1k-5k,Financial Literacy Program Access,-0.6196,False
9,6578,2023-07-15,2023,Q3,7,Jul,2023-07,2023-07-01,Summer,Deposit,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,1.1221,2023-07-14,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",9929.003111058826,11141.33,0.0,0.0,42.66,47.87,0.0,0.0,42.66,47.87,0.004297,True,False,687,Good,5407.32,3k-6k,Middle Income Segment,10k+,Personal Loan Cashback Offer,0.2485,False
10,9322,2024-02-14,2024,Q1,2,Feb,2024-02,2024-02-01,Winter,Transfer,Savings Account,Business,Bilbao,43.263,-2.935,Branch,EUR,1.0713,2024-02-14,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",3669.693233206867,3931.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,617,Fair,7940.49,6k-10k,High Income Segment,1k-5k,Premium Investment Services,-0.6253,False
