Date,Currency,RateToUSD,FXRateDate,RateSource
2023-01-01,EUR,1.0666,2022-12-30,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-01,USD,1.0,2023-01-01,Native USD; no conversion applied
2023-01-02,EUR,1.0683,2023-01-02,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-02,USD,1.0,2023-01-02,Native USD; no conversion applied
2023-01-03,EUR,1.0545,2023-01-03,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-03,USD,1.0,2023-01-03,Native USD; no conversion applied
2023-01-04,EUR,1.0599,2023-01-04,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-04,USD,1.0,2023-01-04,Native USD; no conversion applied
2023-01-05,EUR,1.0601,2023-01-05,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-05,USD,1.0,2023-01-05,Native USD; no conversion applied
2023-01-06,EUR,1.05,2023-01-06,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-06,USD,1.0,2023-01-06,Native USD; no conversion applied
2023-01-07,EUR,1.05,2023-01-06,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-07,USD,1.0,2023-01-07,Native USD; no conversion applied
2023-01-08,EUR,1.05,2023-01-06,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-08,USD,1.0,2023-01-08,Native USD; no conversion applied
2023-01-09,EUR,1.0696,2023-01-09,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-09,USD,1.0,2023-01-09,Native USD; no conversion applied
2023-01-10,EUR,1.0723,2023-01-10,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates"
2023-01-10,USD,1.0,2023-01-10,Native USD; no conversion applied
