Column Name,Description
TransactionID,Unique identifier for each transaction
CustomerID,Unique identifier for each customer
TransactionDate,Date when the transaction occurred
TransactionType,"Type of transaction (e.g., Deposit, Withdrawal, Transfer, Card Payment, Fee)"
Amount,Monetary value of the transaction
ProductCategory,Category of the financial product involved in the transaction
ProductSubcategory,Subcategory within the product category
BranchCity,City where the transaction occurred or branch is located
BranchLat,Latitude of the branch location
BranchLong,Longitude of the branch location
Channel,"Channel used for the transaction (e.g., Branch, ATM, Mobile)"
Currency,Currency in which the transaction was made
CreditCardFees,Fees incurred from credit card usage
InsuranceFees,Insurance-related fees associated with the transaction
LatePaymentAmount,Amount charged due to late payment
CustomerScore,Customer's credit score or internal rating
MonthlyIncome,Customer's reported monthly income
CustomerSegment,Customer's assigned income segment
RecommendedOffer,Product or offer recommended to the customer
