CustomerID,Transactions,FirstTransactionDate,LastTransactionDate,PrimaryCustomerSegment,PrimaryCreditScoreBand,PrimaryMonthlyIncomeBand,AverageCustomerScore,AverageMonthlyIncome,TotalAmountUSD,TotalFeesUSD,HighFeeBurdenTransactions,SegmentVersionCount,ScoreVersionCount,IncomeVersionCount,ProfileChangesDetected
1000,1,2024-05-27,2024-05-27,Low Income Segment,Poor,Under 3k,399.0,2434.25,10083.34,40.22,0,1,1,1,False
1001,5,2023-03-02,2025-03-02,Middle Income Segment,Poor,3k-6k,445.0,3881.028,16786.33,141.35000000000002,0,2,5,5,True
1002,2,2023-05-05,2023-08-19,High Income Segment,Fair,3k-6k,650.0,6720.254999999999,15409.65,35.2,0,2,2,2,True
1003,1,2025-05-19,2025-05-19,Middle Income Segment,Exceptional,3k-6k,821.0,4615.51,5868.65,4.83,0,1,1,1,False
1004,3,2024-04-14,2024-11-16,Middle Income Segment,Fair,3k-6k,671.6666666666666,4815.5233333333335,24878.04,18.83,0,2,3,3,True
1005,3,2023-01-27,2025-02-20,Low Income Segment,Poor,Under 3k,583.0,3661.6666666666665,12098.1,0.0,0,2,3,3,True
1006,1,2023-12-17,2023-12-17,Middle Income Segment,Fair,3k-6k,589.0,5967.58,10363.43,0.0,0,1,1,1,False
1007,2,2023-12-15,2024-06-23,Low Income Segment,Poor,3k-6k,413.5,3152.43,8333.470000000001,222.48,1,2,2,2,True
1008,1,2023-10-14,2023-10-14,Low Income Segment,Very Good,Under 3k,742.0,1645.01,8460.26,16.48,0,1,1,1,False
1009,3,2023-09-16,2024-09-30,Middle Income Segment,Good,3k-6k,687.0,3607.0833333333335,19926.92,0.0,0,2,3,3,True
1010,1,2023-05-05,2023-05-05,High Income Segment,Poor,6k-10k,457.0,8914.52,4593.96,0.0,0,1,1,1,False
1011,5,2023-02-15,2025-02-07,High Income Segment,Poor,6k-10k,504.8,4744.237999999999,6513.74,63.92,0,3,5,5,True
1012,3,2023-04-08,2024-09-19,High Income Segment,Poor,6k-10k,467.3333333333333,6815.2733333333335,16767.02,68.03999999999999,0,2,3,3,True
1013,1,2024-09-07,2024-09-07,High Income Segment,Exceptional,6k-10k,807.0,7433.44,7580.33,0.0,0,1,1,1,False
1014,2,2023-08-19,2023-12-12,High Income Segment,Good,6k-10k,618.0,8262.279999999999,2760.4199999999996,165.62,1,1,2,2,True
1015,2,2024-03-28,2024-07-27,Middle Income Segment,Good,3k-6k,574.0,4377.9,9709.11,16.31,0,1,2,2,True
1016,5,2023-01-05,2024-04-14,Low Income Segment,Poor,6k-10k,538.4,4670.066000000001,21382.03,33.09,0,3,5,5,True
1018,5,2023-07-26,2024-08-16,High Income Segment,Poor,6k-10k,611.6,5888.58,21802.89,36.29,0,3,5,5,True
1019,1,2024-03-01,2024-03-01,High Income Segment,Very Good,6k-10k,793.0,8131.52,6692.94,0.0,0,1,1,1,False
1020,2,2023-04-14,2024-03-21,High Income Segment,Good,3k-6k,578.0,6578.015,9474.539999999999,140.23,0,2,2,2,True
1021,2,2023-02-04,2023-06-07,High Income Segment,Poor,3k-6k,442.0,7287.705,4575.2,59.37,0,2,2,2,True
1022,4,2023-11-07,2024-07-21,High Income Segment,Poor,6k-10k,674.5,6974.135,30540.13,155.07,0,2,4,4,True
1023,1,2023-06-04,2023-06-04,High Income Segment,Good,6k-10k,723.0,9564.17,13679.04,0.0,0,1,1,1,False
1024,2,2023-01-10,2025-03-22,High Income Segment,Good,6k-10k,694.0,9071.67,16881.69,0.0,0,1,2,2,True
1025,3,2023-03-15,2024-04-02,High Income Segment,Poor,6k-10k,478.6666666666667,6639.040000000001,17860.75,135.45,0,2,3,3,True
1026,2,2023-08-31,2023-12-24,High Income Segment,Poor,6k-10k,643.0,8184.96,19483.97,64.31,0,1,2,2,True
1027,5,2023-07-09,2024-10-28,Low Income Segment,Poor,Under 3k,544.4,3607.108,35323.0,135.72,0,3,5,5,True
1028,2,2024-05-03,2024-06-16,Low Income Segment,Good,3k-6k,532.5,3407.4449999999997,9574.64,53.61,0,2,2,2,True
1029,1,2023-03-05,2023-03-05,Middle Income Segment,Good,3k-6k,704.0,3163.3,10193.67,12.02,0,1,1,1,False
1031,2,2024-04-28,2025-05-13,High Income Segment,Exceptional,3k-6k,576.0,7464.575,8947.14,90.21,0,2,2,2,True
1032,2,2023-09-07,2024-02-20,High Income Segment,Good,6k-10k,603.5,7768.875,12156.84,241.96,1,2,2,2,True
1033,1,2024-12-16,2024-12-16,High Income Segment,Good,6k-10k,672.0,7171.58,6101.85,29.01,0,1,1,1,False
1036,2,2023-11-15,2024-11-07,Low Income Segment,Poor,Under 3k,438.5,2457.21,20022.83,101.73,0,1,2,2,True
1037,3,2023-01-10,2025-04-12,Middle Income Segment,Poor,3k-6k,469.0,6615.82,19714.77,148.59,0,2,3,3,True
1038,4,2023-08-18,2025-02-14,High Income Segment,Poor,3k-6k,466.75,6270.5325,18559.93,50.42,0,2,4,4,True
1039,1,2024-04-14,2024-04-14,High Income Segment,Poor,6k-10k,552.0,9157.98,2542.19,109.01,0,1,1,1,False
1040,2,2023-04-15,2024-04-04,High Income Segment,Poor,3k-6k,626.5,5482.46,12935.49,25.55,0,2,2,2,True
1041,1,2023-10-22,2023-10-22,Low Income Segment,Poor,Under 3k,561.0,2876.58,3687.54,60.62,0,1,1,1,False
1042,1,2024-02-13,2024-02-13,Middle Income Segment,Poor,3k-6k,356.0,3542.79,4584.72,134.96,0,1,1,1,False
1043,1,2023-06-25,2023-06-25,Middle Income Segment,Poor,3k-6k,302.0,4785.0,3139.06,144.42,1,1,1,1,False
1044,2,2024-01-10,2024-07-13,Low Income Segment,Good,6k-10k,694.5,3825.835,4367.54,39.26,0,2,2,2,True
1045,3,2024-03-24,2025-03-31,High Income Segment,Exceptional,6k-10k,662.6666666666666,7096.876666666667,15657.99,216.23,1,2,3,3,True
1047,1,2024-04-02,2024-04-02,Middle Income Segment,Very Good,3k-6k,789.0,5341.47,7279.92,25.77,0,1,1,1,False
1048,2,2023-05-31,2025-02-11,High Income Segment,Fair,6k-10k,514.0,5427.37,10570.45,45.57,0,2,2,2,True
1049,2,2024-03-02,2024-10-06,Middle Income Segment,Fair,3k-6k,449.0,4585.360000000001,12668.609999999999,71.78,0,1,2,2,True
1050,3,2023-12-29,2024-04-06,Middle Income Segment,Fair,3k-6k,606.3333333333334,4428.926666666666,7646.04,347.44,1,1,3,3,True
1051,2,2023-05-19,2024-03-04,High Income Segment,Poor,6k-10k,665.5,4718.785000000001,22138.760000000002,103.55,0,2,2,2,True
1052,1,2024-06-01,2024-06-01,Middle Income Segment,Very Good,6k-10k,774.0,6812.03,4282.66,35.27,0,1,1,1,False
1053,1,2023-10-03,2023-10-03,High Income Segment,Poor,6k-10k,415.0,9020.63,4755.17,105.37,0,1,1,1,False
1054,3,2023-01-23,2025-01-05,Low Income Segment,Fair,Under 3k,599.6666666666666,3274.7533333333336,11029.880000000001,14.26,0,2,3,3,True
1055,3,2024-03-07,2024-11-13,Low Income Segment,Good,Under 3k,602.6666666666666,3709.4233333333336,16393.65,49.84,0,2,3,3,True
1056,4,2023-04-27,2024-11-01,High Income Segment,Good,6k-10k,638.0,6680.3125,20718.88,156.55,0,2,4,4,True
1057,1,2024-06-02,2024-06-02,Middle Income Segment,Good,3k-6k,710.0,4655.76,3124.25,73.73,0,1,1,1,False
1058,3,2024-07-18,2025-05-06,High Income Segment,Exceptional,6k-10k,653.0,8094.603333333333,23109.87,155.82,1,2,3,3,True
1059,1,2024-01-15,2024-01-15,Middle Income Segment,Exceptional,3k-6k,827.0,4021.18,40.2,0.0,0,1,1,1,False
1060,5,2023-03-06,2025-03-20,High Income Segment,Poor,6k-10k,569.4,6049.78,26842.55,209.3,1,2,5,5,True
1061,3,2024-05-24,2025-01-11,Low Income Segment,Exceptional,Under 3k,741.6666666666666,3944.7400000000002,8640.720000000001,96.48,0,2,3,3,True
1062,3,2023-04-24,2024-09-12,Middle Income Segment,Poor,3k-6k,557.3333333333334,4100.153333333333,11589.08,120.78999999999999,0,2,3,3,True
1063,3,2023-05-16,2024-08-24,Middle Income Segment,Exceptional,3k-6k,737.0,5691.983333333334,30946.879999999997,221.31,1,2,3,3,True
1064,5,2023-03-27,2025-04-12,High Income Segment,Poor,6k-10k,518.6,7009.067999999999,18099.53,62.68,0,2,5,5,True
1065,3,2023-11-05,2025-01-17,Middle Income Segment,Fair,3k-6k,601.6666666666666,5094.57,7848.76,0.0,0,1,3,3,True
1066,4,2023-06-20,2024-06-29,High Income Segment,Fair,6k-10k,656.75,6579.195,30382.84,77.39999999999999,0,3,4,4,True
1067,2,2024-03-09,2025-05-10,High Income Segment,Poor,3k-6k,633.5,5255.335,10803.55,95.4,0,2,2,2,True
1068,3,2023-09-05,2025-03-06,High Income Segment,Poor,6k-10k,559.6666666666666,7188.526666666668,7938.41,0.0,0,2,3,3,True
1069,2,2023-10-12,2023-11-23,Low Income Segment,Fair,Under 3k,587.5,2000.185,4949.17,169.82,1,1,2,2,True
1070,1,2025-01-27,2025-01-27,Low Income Segment,Very Good,Under 3k,747.0,1502.73,5635.23,3.15,0,1,1,1,False
1071,6,2023-09-08,2024-12-24,Middle Income Segment,Poor,6k-10k,575.1666666666666,6199.21,42017.19,65.15,0,3,6,6,True
1072,2,2024-01-29,2025-05-20,High Income Segment,Fair,3k-6k,495.0,7052.709999999999,28230.65,0.0,0,2,2,2,True
1073,2,2023-11-24,2024-08-08,High Income Segment,Poor,3k-6k,548.5,5403.405,8325.84,26.44,0,2,2,2,True
1074,2,2023-02-04,2023-07-28,Low Income Segment,Poor,6k-10k,653.0,4316.6849999999995,21278.760000000002,0.0,0,2,2,2,True
1075,2,2023-09-17,2024-02-09,High Income Segment,Good,3k-6k,534.0,7123.415,5105.110000000001,145.57,0,2,2,2,True
1076,3,2023-01-13,2023-04-24,Middle Income Segment,Poor,3k-6k,510.0,4302.5,13720.14,57.23,0,2,3,3,True
1077,1,2024-12-26,2024-12-26,High Income Segment,Good,6k-10k,683.0,8632.14,12095.25,55.71,0,1,1,1,False
1078,4,2023-10-16,2025-05-14,Low Income Segment,Good,Under 3k,591.0,3922.7675,30722.51,60.26,0,3,4,4,True
1079,3,2023-01-11,2024-11-05,Low Income Segment,Poor,Under 3k,582.3333333333334,3081.3266666666664,4563.64,121.36000000000001,0,2,3,3,True
1080,3,2023-04-05,2025-01-18,Middle Income Segment,Fair,3k-6k,688.6666666666666,5338.533333333333,25889.04,180.14,0,2,3,3,True
1081,2,2023-04-05,2023-12-26,High Income Segment,Good,6k-10k,519.5,8839.905,21036.72,0.0,0,1,2,2,True
1082,1,2023-03-26,2023-03-26,Middle Income Segment,Poor,3k-6k,336.0,4600.31,4097.51,0.0,0,1,1,1,False
1084,2,2023-09-04,2024-03-02,Middle Income Segment,Poor,3k-6k,399.0,4739.969999999999,2036.9699999999998,5.64,0,1,2,2,True
1085,2,2023-11-20,2025-05-03,High Income Segment,Good,3k-6k,565.5,6497.245,17987.489999999998,146.7,0,2,2,2,True
1086,1,2024-12-30,2024-12-30,Low Income Segment,Poor,Under 3k,529.0,2584.27,7812.33,0.0,0,1,1,1,False
1087,2,2023-04-19,2024-07-11,High Income Segment,Good,6k-10k,507.5,8709.385,10602.94,77.96,0,1,2,2,True
1088,3,2023-02-16,2024-06-21,Middle Income Segment,Poor,3k-6k,493.0,3958.9833333333336,19662.739999999998,235.38,1,2,3,3,True
1089,4,2023-08-14,2025-03-06,Low Income Segment,Poor,6k-10k,599.25,4405.8125,19670.32,0.0,0,3,4,4,True
1090,2,2023-06-02,2023-06-19,Middle Income Segment,Poor,3k-6k,548.0,5488.5599999999995,11990.529999999999,12.15,0,1,2,2,True
1091,2,2024-01-01,2024-09-09,Middle Income Segment,Poor,3k-6k,503.5,4802.395,3309.8,17.0,0,1,2,2,True
1092,2,2023-10-02,2025-05-18,Middle Income Segment,Poor,3k-6k,473.0,4494.005,16489.67,80.67,0,1,2,2,True
1093,3,2024-05-26,2024-11-02,High Income Segment,Poor,6k-10k,415.0,7620.596666666667,10208.980000000001,207.86,1,2,3,3,True
1094,3,2023-07-20,2025-01-09,Low Income Segment,Poor,Under 3k,517.6666666666666,2824.66,11210.83,60.440000000000005,0,2,3,3,True
1095,2,2024-04-18,2024-08-28,Low Income Segment,Poor,3k-6k,462.0,3073.6800000000003,6790.879999999999,183.36,1,2,2,2,True
1096,1,2025-02-12,2025-02-12,Low Income Segment,Very Good,Under 3k,792.0,1654.9,2156.22,48.96,0,1,1,1,False
1097,3,2023-08-02,2024-09-20,High Income Segment,Poor,3k-6k,547.6666666666666,5303.926666666666,26469.58,81.23,0,3,3,3,True
1098,5,2023-02-14,2024-12-14,High Income Segment,Poor,3k-6k,642.6,5391.394,29016.34,753.21,2,3,5,5,True
1100,3,2023-07-18,2024-01-27,Low Income Segment,Poor,Under 3k,513.0,3235.866666666667,11592.17,84.68,0,2,3,3,True
1101,1,2023-09-07,2023-09-07,High Income Segment,Fair,6k-10k,618.0,9220.16,4231.99,6.73,0,1,1,1,False
