TransactionID,CustomerID,DateKey,ProductKey,BranchKey,ChannelKey,TransactionTypeKey,OfferKey,CurrencyKey,CurrencyRateKey,CustomerProfileKey,TransactionValueBandKey,AmountOriginal,AmountUSD,CreditCardFeesOriginal,CreditCardFeesUSD,InsuranceFeesOriginal,InsuranceFeesUSD,LatePaymentAmountOriginal,LatePaymentAmountUSD,TotalFeesOriginal,TotalFeesUSD,FeeRate,HasFeeFriction,HasLatePayment,CustomerScore,MonthlyIncome,FeeBurdenZScore,HighFeeBurdenFlag
1,8270,20250129,P002,B006,CH002,TT001,O004,CUR001,20250129-EUR,CP019,TV003,6980.185223290763,7256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,839,5767.68,-0.6403,False
2,1860,20230210,P017,B005,CH002,TT002,O002,CUR001,20230210-EUR,CP008,TV004,10786.37185401874,11530.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,683,2441.0,-0.6196,False
3,6390,20240307,P013,B004,CH001,TT005,O007,CUR001,20240307-EUR,CP001,TV002,3982.761110763336,4339.22,0.0,0.0,92.46,100.74,0.0,0.0,92.46,100.74,0.023216,True,False,500,9957.08,1.232,False
4,6191,20230704,P019,B006,CH001,TT006,O002,CUR001,20230704-EUR,CP006,TV004,12408.6441357312,13519.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,392,1545.8,-0.6196,False
5,6734,20250205,P003,B005,CH003,TT003,O004,CUR002,20250205-USD,CP011,TV002,1868.260998018309,1868.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,368,5825.27,-0.6403,False
6,7265,20230930,P023,B005,CH002,TT001,O004,CUR001,20230929-EUR,CP018,TV002,3165.15062990132,3353.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,793,6234.59,-0.6403,False
7,1466,20230211,P025,B006,CH003,TT003,O004,CUR001,20230210-EUR,CP012,TV003,4771.08753934117,5100.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,441,6436.8,-0.6403,False
8,5426,20240114,P003,B005,CH002,TT002,O002,CUR001,20240112-EUR,CP006,TV002,4484.8557186646,4907.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,419,1576.34,-0.6196,False
9,6578,20230715,P012,B005,CH004,TT002,O006,CUR001,20230714-EUR,CP015,TV004,9929.003111058826,11141.33,0.0,0.0,42.66,47.87,0.0,0.0,42.66,47.87,0.004297,True,False,687,5407.32,0.2485,False
10,9322,20240214,P021,B002,CH002,TT005,O007,CUR001,20240214-EUR,CP002,TV002,3669.693233206867,3931.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,617,7940.49,-0.6253,False
