TransactionID,CustomerID,TransactionDate,Year,Quarter,MonthNumber,MonthName,YearMonth,MonthStart,Season,TransactionType,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,RateToUSD,FXRateDate,RateSource,AmountOriginal,AmountUSD,CreditCardFeesOriginal,CreditCardFeesUSD,InsuranceFeesOriginal,InsuranceFeesUSD,LatePaymentAmountOriginal,LatePaymentAmountUSD,TotalFeesOriginal,TotalFeesUSD,FeeRate,HasFeeFriction,HasLatePayment,CustomerScore,CreditScoreBand,MonthlyIncome,MonthlyIncomeBand,CustomerSegment,TransactionValueBandUSD,RecommendedOffer,FeeBurdenZScore,HighFeeBurdenFlag
14310,7626,2023-11-30,2023,Q4,11,Nov,2023-11,2023-11-01,Autumn,Loan Payment,Loan,Business,Madrid,40.4168,-3.7038,Branch,EUR,1.0931,2023-11-30,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",5026.310428070081,5494.26,0.0,0.0,99.19,108.42,199.18,217.72,298.37,326.14,0.05936,True,True,616,Fair,3207.63,3k-6k,Middle Income Segment,5k-10k,Personal Loan Cashback Offer,5.4149,True
12072,5294,2023-04-17,2023,Q2,4,Apr,2023-04,2023-04-01,Spring,Loan Payment,Loan,Standard,Malaga,36.7213,-4.4214,Branch,EUR,1.0981,2023-04-17,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",7629.236262528791,8377.66,0.0,0.0,98.87,108.57,190.74,209.45,289.61,318.02,0.03796,True,True,495,Poor,3732.0,3k-6k,Middle Income Segment,5k-10k,Personal Loan Cashback Offer,5.2641,True
18692,9205,2024-01-10,2024,Q1,1,Jan,2024-01,2024-01-01,Winter,Loan Payment,Loan,Business,Malaga,36.7213,-4.4214,Branch,EUR,1.0946,2024-01-10,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",2622.022267959624,2870.07,0.0,0.0,92.29,101.02,197.5,216.18,289.79,317.2,0.11052,True,True,809,Exceptional,9676.83,6k-10k,High Income Segment,1k-5k,Premium Investment Services,5.2229,True
17594,7103,2023-01-14,2023,Q1,1,Jan,2023-01,2023-01-01,Winter,Loan Payment,Loan,Standard,Madrid,40.4168,-3.7038,Online,EUR,1.0814,2023-01-13,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",9928.717533704781,10736.92,0.0,0.0,94.03,101.68,194.09,209.89,288.12,311.57,0.029019,True,True,416,Poor,5312.83,3k-6k,Middle Income Segment,10k+,Personal Loan Cashback Offer,5.1444,True
15681,9102,2024-08-08,2024,Q3,8,Aug,2024-08,2024-08-01,Summer,Loan Payment,Loan,Student,Bilbao,43.263,-2.935,Branch,EUR,1.093,2024-08-08,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",12092.8599718769,13217.5,0.0,0.0,99.74,109.02,183.33,200.38,283.07,309.4,0.023408,True,True,619,Fair,7477.37,6k-10k,High Income Segment,10k+,Premium Investment Services,5.0791,True
159,4581,2023-05-03,2023,Q2,5,May,2023-05,2023-05-01,Spring,Loan Payment,Loan,Gold,Murcia,37.9847,-1.1287,Branch,EUR,1.1043,2023-05-03,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",7602.950729549966,8395.94,0.0,0.0,91.8,101.37,187.41,206.96,279.21,308.33,0.036724,True,True,347,Poor,7310.3,6k-10k,High Income Segment,5k-10k,Premium Investment Services,5.0594,True
12942,5065,2023-03-24,2023,Q1,3,Mar,2023-03,2023-03-01,Spring,Loan Payment,Loan,Business,Murcia,37.9847,-1.1287,Branch,EUR,1.0745,2023-03-24,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",6723.049652517629,7223.92,0.0,0.0,94.78,101.84,192.0,206.3,286.78,308.14,0.042656,True,True,461,Poor,6539.9,6k-10k,Middle Income Segment,5k-10k,Personal Loan Cashback Offer,5.0807,True
7842,2800,2023-06-14,2023,Q2,6,Jun,2023-06,2023-06-01,Summer,Loan Payment,Loan,Platinum,Valencia,39.4699,-0.3763,Mobile,EUR,1.0809,2023-06-14,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",2544.407309692907,2750.25,0.0,0.0,94.0,101.6,188.81,204.08,282.81,305.68,0.111146,True,True,623,Fair,3599.86,3k-6k,Middle Income Segment,1k-5k,Personal Loan Cashback Offer,5.035,True
1358,1686,2024-06-20,2024,Q2,6,Jun,2024-06,2024-06-01,Summer,Loan Payment,Loan,Platinum,Barcelona,41.3874,2.1686,ATM,EUR,1.0719,2024-06-20,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",3277.68304003325,3513.35,0.0,0.0,97.2,104.19,180.36,193.33,277.56,297.52,0.084683,True,True,701,Good,2005.0,Under 3k,Low Income Segment,1k-5k,Financial Literacy Program Access,4.899,True
228,7295,2024-07-09,2024,Q3,7,Jul,2024-07,2024-07-01,Summer,Loan Payment,Loan,Student,Seville,37.3891,-5.9845,Online,EUR,1.0814,2024-07-09,"Frankfurter API v2, provider=ECB, EUR/USD; previous available published rate used for non-publication dates",1898.220255929552,2052.74,0.0,0.0,85.79,92.77,189.0,204.38,274.79,297.15,0.144758,True,True,400,Poor,9573.89,6k-10k,High Income Segment,1k-5k,Premium Investment Services,4.8533,True
