YearMonth,MonthStart,Transactions,Customers,TotalAmountUSD,AvgAmountUSD,TotalFeesUSD,FeeTransactions,LatePaymentUSD,AvgCustomerScore,AvgMonthlyIncome
2023-01,2023-01-01,732,711,3851851.62,5262.09,25707.58,367,13842.14,555.22,5491.72
2023-02,2023-02-01,614,597,3210299.42,5228.5,21793.55,327,11016.86,574.64,5514.2
2023-03,2023-03-01,681,661,3649960.34,5359.71,25430.86,363,14638.04,583.29,5367.47
2023-04,2023-04-01,698,673,3974110.97,5693.57,22805.38,344,11364.62,571.9,5615.7
2023-05,2023-05-01,688,660,3610529.3,5247.86,22654.23,337,11254.85,575.25,5562.67
2023-06,2023-06-01,707,677,3805323.69,5382.35,24341.36,355,12542.38,574.87,5537.41
2023-07,2023-07-01,704,676,4131064.26,5867.99,27017.65,371,14851.13,575.46,5453.23
2023-08,2023-08-01,706,679,3855318.54,5460.79,22613.09,373,10705.57,583.55,5558.82
2023-09,2023-09-01,693,672,3655465.62,5274.84,20740.72,331,10624.89,584.85,5366.87
2023-10,2023-10-01,757,731,3847036.41,5081.95,24798.54,390,13002.09,567.44,5568.82
2023-11,2023-11-01,727,696,3887862.86,5347.82,26408.61,380,14303.37,571.66,5444.82
2023-12,2023-12-01,700,677,3840000.99,5485.72,24703.63,338,13432.25,577.53,5443.64
2024-01,2024-01-01,724,700,3888953.8,5371.48,25833.48,380,14242.67,567.23,5485.76
2024-02,2024-02-01,629,602,3262578.39,5186.93,20826.23,309,11127.22,569.11,5532.54
2024-03,2024-03-01,699,666,3662823.34,5240.09,22931.35,348,10458.8,572.25,5450.22
2024-04,2024-04-01,692,673,3738038.72,5401.79,21895.27,338,11447.77,575.46,5614.25
2024-05,2024-05-01,686,661,3724929.19,5429.93,23362.21,349,11071.0,578.35,5526.7
2024-06,2024-06-01,683,659,3578760.1,5239.77,24574.43,356,12814.31,580.51,5273.26
2024-07,2024-07-01,735,704,4010853.64,5456.94,25041.23,350,13924.73,586.55,5375.68
2024-08,2024-08-01,706,677,3833510.96,5429.9,24872.86,367,13381.97,577.54,5263.67
2024-09,2024-09-01,683,659,3919933.54,5739.29,21572.48,321,11985.79,572.38,5514.86
2024-10,2024-10-01,699,670,3882284.96,5554.06,24842.75,354,14091.76,568.03,5443.8
2024-11,2024-11-01,681,659,3730741.21,5478.33,22910.21,339,11550.24,580.51,5692.89
2024-12,2024-12-01,725,686,3923025.17,5411.07,22956.8,378,11013.8,574.02,5528.75
2025-01,2025-01-01,720,696,3677154.9,5107.16,21352.64,350,10280.16,577.03,5306.02
2025-02,2025-02-01,646,616,3382941.98,5236.75,21863.87,323,11876.07,568.78,5394.7
2025-03,2025-03-01,755,720,3988245.48,5282.44,25862.02,394,12956.9,589.17,5542.96
2025-04,2025-04-01,725,694,4194044.42,5784.89,25278.09,361,13025.23,575.99,5701.65
2025-05,2025-05-01,405,398,2237114.46,5523.74,16092.91,213,9421.04,574.08,5484.35
