ProductCategory,ProductSubcategory,Transactions,Customers,TotalAmountUSD,AvgAmountUSD,TotalFeesUSD,FeeTransactions,LatePaymentUSD,AvgCustomerScore,AvgMonthlyIncome
Checking Account,Business,773,744,3307493.22,4278.78,18036.87,166,18036.87,584.6,5562.82
Checking Account,Gold,842,793,3503512.99,4160.94,16942.58,145,16942.58,573.23,5566.88
Checking Account,Platinum,722,694,2980038.83,4127.48,15269.13,138,15269.13,579.24,5473.75
Checking Account,Standard,750,714,3090543.33,4120.72,12344.26,121,12344.26,574.88,5367.78
Checking Account,Student,801,762,3310760.69,4133.28,14316.78,141,14316.78,577.94,5350.96
Credit Card,Business,828,798,4422643.87,5341.36,38873.66,828,15967.34,581.27,5487.63
Credit Card,Gold,790,760,4111401.51,5204.31,37671.89,790,15602.77,574.25,5525.87
Credit Card,Platinum,844,804,4451446.74,5274.23,37209.92,844,14319.04,571.59,5539.84
Credit Card,Standard,753,715,4015842.34,5333.12,33350.99,753,13235.98,578.55,5374.71
Credit Card,Student,867,823,4592002.84,5296.43,38602.05,867,15008.25,567.46,5476.59
Loan,Business,853,816,5810435.61,6811.77,59948.04,853,16004.1,573.89,5409.36
Loan,Gold,802,773,5377158.9,6704.69,56416.82,802,12370.46,571.95,5502.94
Loan,Platinum,770,738,5180705.2,6728.19,53546.15,770,12530.81,585.32,5584.91
Loan,Standard,790,762,5404962.03,6841.72,54461.75,790,11677.0,569.12,5354.64
Loan,Student,783,756,5211034.31,6655.22,56016.49,783,14545.63,575.92,5587.66
Mortgage,Business,823,779,6703321.44,8144.98,13585.46,132,13585.46,565.69,5510.7
Mortgage,Gold,767,735,6173802.27,8049.29,10999.03,121,10999.03,572.25,5578.3
Mortgage,Platinum,785,751,6398439.5,8150.88,15087.16,136,15087.16,563.04,5714.69
Mortgage,Standard,790,761,6310831.47,7988.39,12841.69,127,12841.69,576.18,5325.66
Mortgage,Student,825,792,6803686.24,8246.89,13780.54,128,13780.54,573.77,5469.27
Savings Account,Business,795,753,2146055.11,2699.44,12539.84,124,12539.84,586.03,5501.26
Savings Account,Gold,755,729,1929937.06,2556.21,13214.44,122,13214.44,580.0,5444.36
Savings Account,Platinum,844,798,2258444.54,2675.88,16349.95,145,16349.95,575.17,5513.06
Savings Account,Standard,826,778,2191023.97,2652.57,13428.46,129,13428.46,574.49,5375.79
Savings Account,Student,822,787,2269234.27,2760.63,16250.08,151,16250.08,578.89,5520.0
