SalesMonth,CategoryID,CategoryName,NetRevenue,GrossRevenueEstimate,UnitsSold,CategoryShare,MoMRevenueChange,MoMRevenueChangePct
2018-01,1,Confections,132815141.64,136930128.40,2637426,0.1289,,
2018-01,10,Snails,88950227.96,91701930.21,1721090,0.0863,,
2018-01,11,Produce,87453191.88,90177985.53,1984275,0.0848,,
2018-01,2,Shell fish,71287777.66,73461893.05,1658066,0.0692,,
2018-01,3,Cereals,101202044.32,104334558.83,2072097,0.0982,,
2018-01,4,Dairy,84041019.19,86601292.06,1617127,0.0815,,
2018-01,5,Beverages,87044892.29,89743923.43,1755510,0.0844,,
2018-01,6,Seafood,78656103.37,81043819.58,1664344,0.0763,,
2018-01,7,Meat,117126752.39,120713180.30,2310565,0.1136,,
2018-01,8,Grain,77379039.98,79779596.80,1296650,0.0751,,
2018-01,9,Poultry,104779706.31,107989535.38,2183304,0.1017,,
2018-02,1,Confections,119022995.20,122714350.24,2375088,0.1281,-13792146.44,-0.1038
2018-02,10,Snails,79984136.47,82439181.07,1545486,0.0861,-8966091.49,-0.1008
2018-02,11,Produce,78989326.02,81432821.58,1797381,0.0850,-8463865.87,-0.0968
2018-02,2,Shell fish,64122966.72,66070586.46,1498024,0.0690,-7164810.95,-0.1005
2018-02,3,Cereals,91660789.56,94523529.47,1877118,0.0986,-9541254.76,-0.0943
2018-02,4,Dairy,76122994.87,78454874.92,1465533,0.0819,-7918024.31,-0.0942
2018-02,5,Beverages,78851074.55,81275979.56,1590365,0.0849,-8193817.73,-0.0941
2018-02,6,Seafood,71061573.48,73250243.81,1503033,0.0765,-7594529.89,-0.0966
2018-02,7,Meat,105350958.73,108635218.00,2082289,0.1134,-11775793.66,-0.1005
2018-02,8,Grain,69764752.60,71892674.15,1167835,0.0751,-7614287.38,-0.0984
2018-02,9,Poultry,94272649.27,97190067.23,1960691,0.1015,-10507057.04,-0.1003
2018-03,1,Confections,132593219.49,136670956.50,2633082,0.1285,13570224.28,0.1140
2018-03,10,Snails,88317115.21,91037612.13,1711952,0.0856,8332978.74,0.1042
2018-03,11,Produce,87914184.42,90649629.40,1998625,0.0852,8924858.40,0.1130
2018-03,2,Shell fish,71640346.60,73871651.09,1671925,0.0694,7517379.88,0.1172
2018-03,3,Cereals,102170027.87,105315216.47,2081969,0.0990,10509238.31,0.1147
2018-03,4,Dairy,84391018.50,86971354.90,1623237,0.0818,8268023.63,0.1086
2018-03,5,Beverages,87405642.15,90133901.39,1762618,0.0847,8554567.59,0.1085
2018-03,6,Seafood,78516319.27,80949277.77,1660370,0.0761,7454745.79,0.1049
2018-03,7,Meat,117513943.47,121158491.50,2311266,0.1138,12162984.74,0.1155
2018-03,8,Grain,76999348.14,79365820.28,1296163,0.0746,7234595.54,0.1037
2018-03,9,Poultry,104739610.64,107970410.79,2179738,0.1015,10466961.37,0.1110
2018-04,1,Confections,128067528.89,131983246.61,2549722,0.1284,-4525690.60,-0.0341
2018-04,10,Snails,85700809.38,88367974.80,1658518,0.0859,-2616305.83,-0.0296
2018-04,11,Produce,84760157.96,87378692.41,1926980,0.0850,-3154026.46,-0.0359
2018-04,2,Shell fish,69089639.16,71224202.41,1605352,0.0693,-2550707.44,-0.0356
2018-04,3,Cereals,98297573.41,101353071.32,2006212,0.0986,-3872454.45,-0.0379
2018-04,4,Dairy,81779414.96,84297925.21,1569979,0.0820,-2611603.54,-0.0309
2018-04,5,Beverages,84170286.45,86796644.22,1699758,0.0844,-3235355.69,-0.0370
2018-04,6,Seafood,76149653.28,78541107.11,1613725,0.0764,-2366665.98,-0.0301
2018-04,7,Meat,113668025.67,117183977.87,2243250,0.1140,-3845917.80,-0.0327
2018-04,8,Grain,74125696.23,76424581.09,1242759,0.0743,-2873651.91,-0.0373
2018-04,9,Poultry,101459715.66,104599502.36,2113211,0.1017,-3279894.98,-0.0313
2018-05,1,Confections,38865310.55,40065352.48,771959,0.1296,-89202218.34,-0.6965
2018-05,10,Snails,25391437.74,26194445.75,491024,0.0847,-60309371.64,-0.7037
2018-05,11,Produce,25399161.68,26195764.06,576329,0.0847,-59360996.28,-0.7003
2018-05,2,Shell fish,20540815.26,21179514.06,480635,0.0685,-48548823.90,-0.7027
2018-05,3,Cereals,29794319.91,30721627.83,609942,0.0994,-68503253.51,-0.6969
2018-05,4,Dairy,24415222.77,25179284.53,469835,0.0814,-57364192.19,-0.7015
2018-05,5,Beverages,25415764.67,26180705.56,511804,0.0848,-58754521.79,-0.6980
2018-05,6,Seafood,22815167.27,23503616.79,484340,0.0761,-53334486.02,-0.7004
2018-05,7,Meat,34267238.10,35312347.78,674259,0.1143,-79400787.57,-0.6985
2018-05,8,Grain,22357977.62,23051553.14,375177,0.0746,-51767718.60,-0.6984
2018-05,9,Poultry,30570020.35,31523070.33,634535,0.1020,-70889695.31,-0.6987
Unknown,1,Confections,5566521.57,5739248.09,111197,0.1288,-33298788.99,-0.8568
Unknown,10,Snails,3741158.45,3860625.97,71339,0.0866,-21650279.29,-0.8527
Unknown,11,Produce,3727591.06,3841796.33,85203,0.0863,-21671570.62,-0.8532
Unknown,2,Shell fish,2916748.64,3002320.30,69455,0.0675,-17624066.62,-0.8580
Unknown,3,Cereals,4268676.85,4401457.34,87958,0.0988,-25525643.06,-0.8567
Unknown,4,Dairy,3608486.48,3719936.08,69432,0.0835,-20806736.30,-0.8522
Unknown,5,Beverages,3627363.90,3746362.35,73638,0.0840,-21788400.77,-0.8573
Unknown,6,Seafood,3329170.80,3435839.94,70340,0.0771,-19485996.47,-0.8541
Unknown,7,Meat,4961926.33,5111173.30,97663,0.1148,-29305311.78,-0.8552
Unknown,8,Grain,3252312.08,3349169.54,54568,0.0753,-19105665.54,-0.8545
Unknown,9,Poultry,4203862.73,4341336.26,88368,0.0973,-26366157.62,-0.8625
