ProductID,ProductName,CategoryName,Class,NetRevenue,GrossRevenueEstimate,UnitsSold,RevenuePerUnit,RevenueRankDesc,RevenueRankAsc
345,Bread - Calabrese Baguette,Dairy,Medium,18868838.46,19449106.23,197257,95.66,1,452
98,Shrimp - 31/40,Cereals,High,18721942.13,19299342.37,193234,96.89,2,451
392,Puree - Passion Fruit,Beverages,High,18703480.12,19266878.97,194957,95.94,3,450
104,Tia Maria,Beverages,High,18685124.71,19277063.49,196210,95.23,4,449
149,Zucchini - Yellow,Snails,High,18551657.91,19122672.66,194209,95.52,5,448
268,Vanilla Beans,Poultry,Low,18530394.56,19106193.78,195273,94.89,6,447
248,Beef - Inside Round,Meat,Low,18334978.42,18938601.40,190684,96.15,7,446
201,Grenadine,Grain,Medium,18331168.56,18894859.60,196031,93.51,8,445
32,Lettuce - Treviso,Cereals,High,18321893.50,18891297.26,195942,93.51,9,444
298,Pop Shoppe Cream Soda,Dairy,Medium,18241372.15,18798485.22,196352,92.90,10,443
328,Tuna - Salad Premix,Seafood,Medium,18215960.08,18785051.10,193904,93.94,11,442
413,Ice Cream Bar - Oreo Cone,Cereals,High,18176397.97,18734306.56,196363,92.57,12,441
144,"Placemat - Scallop, White",Beverages,Medium,18100315.13,18655761.89,194764,92.93,13,440
199,Pork - Hock And Feet Attached,Snails,Medium,18087034.19,18656188.69,194860,92.82,14,439
217,Bread - Multigrain,Grain,Medium,18018372.90,18598535.32,192691,93.51,15,438
256,Soup Knorr Chili With Beans,Seafood,Medium,18000425.16,18561384.78,193949,92.81,16,437
10,Scampi Tail,Dairy,Low,17993742.09,18537385.18,194934,92.31,17,436
351,Hot Chocolate - Individual,Confections,High,17942658.52,18495554.50,192497,93.21,18,435
151,"Mushrooms - Black, Dried",Meat,High,17728219.67,18287117.45,195456,90.70,19,434
284,Beer - Rickards Red,Poultry,Low,17714846.80,18275377.60,195482,90.62,20,433
347,Pail For Lid 1537,Grain,Low,17710184.70,18250192.36,192868,91.83,21,432
223,Pail With Metal Handle 16l White,Confections,Medium,17681302.51,18222178.70,192950,91.64,22,431
315,Wine - Gato Negro Cabernet,Seafood,Medium,17596842.43,18132542.31,193301,91.03,23,430
226,"Chestnuts - Whole,canned",Snails,Medium,17576978.54,18118432.86,196753,89.34,24,429
80,Wasabi Powder,Shell fish,High,17573935.65,18108833.09,192698,91.20,25,428
159,Eggplant - Asian,Meat,Medium,17518971.48,18051809.85,195991,89.39,26,427
451,Soup - Campbells Tomato Ravioli,Confections,Low,17517581.58,18048889.05,192957,90.78,27,426
418,Truffle Cups - Brown,Shell fish,Low,17454952.91,17994689.35,195061,89.48,28,425
244,Beef - Rib Eye Aaa,Shell fish,Low,17454726.02,17983144.02,191175,91.30,29,424
53,Cassis,Grain,Medium,17407422.31,17914976.88,193408,90.00,30,423
279,Beef - Texas Style Burger,Confections,Low,17354421.12,17894624.50,196250,88.43,31,422
175,Oil - Safflower,Confections,Low,17328915.86,17857588.43,194596,89.05,32,421
395,Juice - Lime,Confections,Low,17315479.42,17850016.18,194480,89.03,33,420
88,Remy Red,Shell fish,Low,17200206.93,17728917.14,192714,89.25,34,419
84,Peas - Frozen,Confections,Medium,17180062.90,17699172.40,196000,87.65,35,418
378,Bread Foccacia Whole,Poultry,High,17147445.13,17671099.50,194642,88.10,36,417
2,Cookie Chocolate Chip With,Cereals,Medium,17128630.29,17670261.77,193683,88.44,37,416
215,"Veal - Brisket, Provimi,bnls",Meat,High,17013402.59,17542643.09,194668,87.40,38,415
8,Halibut - Steaks,Beverages,Medium,17002187.28,17528912.80,195075,87.16,39,414
305,Pastry - Cheese Baked Scones,Grain,Medium,16994895.00,17522662.90,192346,88.36,40,413
341,"Bread - Roll, Canadian Dinner",Confections,Low,16972710.75,17490203.86,193767,87.59,41,412
324,Apricots - Dried,Snails,Low,16890400.57,17407468.27,198032,85.29,42,411
24,"Beer - Alexander Kieths, Pale Ale",Cereals,Medium,16854953.40,17378953.96,195188,86.35,43,410
406,"Shrimp - Baby, Warm Water",Poultry,High,16833197.79,17357692.07,193293,87.09,44,409
308,Tea - Decaf Lipton,Seafood,High,16829523.35,17358319.24,196983,85.44,45,408
443,Lettuce - Spring Mix,Shell fish,Low,16820377.90,17347336.83,192712,87.28,46,407
379,Smoked Paprika,Meat,High,16641296.01,17142285.88,191953,86.69,47,406
369,Rambutan,Beverages,Medium,16632716.27,17156118.55,196793,84.52,48,405
274,Papayas,Shell fish,Low,16521583.36,17005155.10,192979,85.61,49,404
81,Cookies - Assorted,Shell fish,Medium,16367655.91,16883941.14,194856,84.00,50,403
69,Raspberries - Fresh,Confections,Low,16348051.94,16852330.49,192358,84.99,51,402
380,Wine - White Cab Sauv.on,Dairy,High,16345657.45,16844944.60,195930,83.43,52,401
