scope_segment,is_challenge_scope,promotion_type,content_type,platform,posts,total_impressions,total_views,total_clicks,avg_engagement_rate,avg_ctr
Challenge Scope,True,Organic,Organic,Instagram,48,61442053,50334649,0.0,0.16052161044166827,
Challenge Scope,True,Organic,Organic,LinkedIn,29,17254634,14518668,226591.0,0.14769908248302926,0.018925
Challenge Scope,True,Organic,Organic,TikTok,48,45568702,37999402,797483.0,0.15400063647604664,0.018060416666666666
Challenge Scope,True,Organic,Organic,X (Twitter),75,81875726,68479713,0.0,0.15007791519174152,
Challenge Scope,True,Paid/Promoted,Sponsored,Instagram,20,28908671,23747147,0.0,0.15630784047412583,
Challenge Scope,True,Paid/Promoted,Sponsored,LinkedIn,7,5826141,4720473,124711.0,0.15033184319044485,0.02318
Challenge Scope,True,Paid/Promoted,Sponsored,TikTok,19,24549917,20382719,403281.0,0.16399336985319835,0.015705263157894736
Full Workbook Only,False,Organic,Organic,Facebook,179,181207629,150564464,3714641.0,0.15345711376684418,0.020400558659217877
Full Workbook Only,False,Organic,Organic,Instagram,751,844960823,704941258,0.0,0.15774210005337894,
Full Workbook Only,False,Organic,Organic,LinkedIn,369,299795547,250470426,4154392.0,0.14428491070773128,0.01977630331753554
Full Workbook Only,False,Organic,Organic,TikTok,961,961197494,800087364,17036357.0,0.15274539625804626,0.01759604578563996
Full Workbook Only,False,Organic,Organic,X (Twitter),1126,1116025479,931177439,0.0,0.15302152686324627,
Full Workbook Only,False,Organic,Organic,YouTube,1060,1040283305,868825638,0.0,0.15101597796039212,
Full Workbook Only,False,Paid/Promoted,Sponsored,Facebook,120,137410909,114755770,2871500.0,0.1520616370531779,0.02046
Full Workbook Only,False,Paid/Promoted,Sponsored,Instagram,179,246552414,205902697,0.0,0.1613103753968811,
Full Workbook Only,False,Paid/Promoted,Sponsored,LinkedIn,120,85559996,70871206,1347335.0,0.13875081032594716,0.019579166666666665
Full Workbook Only,False,Paid/Promoted,Sponsored,TikTok,229,276380238,229470304,4730885.0,0.15521450096845305,0.017295196506550217
Full Workbook Only,False,Paid/Promoted,Sponsored,YouTube,260,311756066,259025897,0.0,0.1549965003469275,
