scope_segment,is_challenge_scope,main_hashtag,platform,region,country,posts,total_impressions,total_clicks,avg_ctr,avg_engagement_rate
Challenge Scope,True,#CustomerStory,Instagram,Europe,UK,4,9026418,0.0,,0.20772918799237178
Challenge Scope,True,#CustomerStory,Instagram,Latin America,Brazil,1,3998498,0.0,,0.1614133336001702
Challenge Scope,True,#CustomerStory,Instagram,North America,Canada,2,4718299,0.0,,0.2277057660236593
Challenge Scope,True,#CustomerStory,LinkedIn,APAC,Japan,1,238235,0.0,,0.2014508421625779
Challenge Scope,True,#CustomerStory,TikTok,APAC,Australia,1,2401906,37229.0,0.0155,0.2135568998956063
Challenge Scope,True,#CustomerStory,TikTok,APAC,India,1,2115292,52036.0,0.0246,0.2319764592492975
Challenge Scope,True,#CustomerStory,TikTok,APAC,Japan,1,2929432,49214.0,0.0168,0.2166876092185744
Challenge Scope,True,#CustomerStory,TikTok,Europe,Germany,2,4086611,99009.0,0.024,0.2111184418955383
Challenge Scope,True,#CustomerStory,TikTok,Europe,UK,1,2872688,31312.0,0.0109,0.1964853715284592
Challenge Scope,True,#CustomerStory,TikTok,North America,USA,2,5667661,75873.0,0.014349999999999998,0.19398674465223337
Challenge Scope,True,#CustomerStory,X (Twitter),APAC,Japan,2,4242757,0.0,,0.20485544551619667
Challenge Scope,True,#CustomerStory,X (Twitter),Europe,UK,1,1619911,0.0,,0.1690463534258456
Challenge Scope,True,#CustomerStory,X (Twitter),Latin America,Brazil,1,2041612,0.0,,0.1861185363956461
Challenge Scope,True,#CustomerSuccess,LinkedIn,APAC,Australia,2,272820,3011.0,0.01105,0.18145624025160761
Challenge Scope,True,#CustomerSuccess,LinkedIn,APAC,India,1,274606,6151.0,0.0224,0.2427412532706293
Challenge Scope,True,#CustomerSuccess,LinkedIn,Europe,UK,3,2385571,59263.0,0.024066666666666667,0.1820876574786645
Challenge Scope,True,#CustomerSuccess,LinkedIn,Latin America,Brazil,1,305098,6742.0,0.0221,0.2407305721681614
Challenge Scope,True,#CustomerSuccess,LinkedIn,North America,USA,1,207168,5531.0,0.0267,0.2207439098225888
Challenge Scope,True,#DidYouKnow,LinkedIn,APAC,Australia,2,570884,10699.0,0.0247,0.20741233958676955
Challenge Scope,True,#DidYouKnow,LinkedIn,Europe,Germany,1,328622,0.0,,0.1923316026623839
Challenge Scope,True,#DidYouKnow,LinkedIn,Europe,UK,1,1918379,55824.0,0.0291,0.06603342429537805
Challenge Scope,True,#DidYouKnow,LinkedIn,Latin America,Brazil,1,670073,0.0,,0.1726892761647418
Challenge Scope,True,#DidYouKnow,LinkedIn,North America,Canada,2,933236,17716.0,0.0255,0.1994683531340976
Challenge Scope,True,#EventRecap,Instagram,APAC,Australia,1,238228,0.0,,0.1423545283767987
Challenge Scope,True,#EventRecap,Instagram,APAC,Japan,1,510819,0.0,,0.1734422945702626
Challenge Scope,True,#EventRecap,Instagram,Europe,Germany,1,351181,0.0,,0.1530849135923097
Challenge Scope,True,#EventRecap,TikTok,APAC,Australia,1,282286,5786.0,0.0205,0.1652840562095291
Challenge Scope,True,#EventRecap,TikTok,APAC,India,1,384077,7489.0,0.0195,0.1229313818858895
Challenge Scope,True,#EventRecap,TikTok,APAC,Japan,1,599307,10487.0,0.0175,0.1624568849799787
Challenge Scope,True,#EventRecap,TikTok,Europe,Germany,2,1022249,17501.0,0.0155,0.11781035309201371
Challenge Scope,True,#EventRecap,TikTok,Europe,UK,2,714827,8935.0,0.0135,0.1425339960336665
Challenge Scope,True,#EventRecap,TikTok,Latin America,Brazil,2,1244028,14312.0,0.01295,0.1335436683270838
Challenge Scope,True,#EventRecap,X (Twitter),APAC,India,2,432532,0.0,,0.1442229498575146
Challenge Scope,True,#EventRecap,X (Twitter),Latin America,Brazil,1,493047,0.0,,0.1158130603801154
Challenge Scope,True,#EventRecap,X (Twitter),North America,Canada,1,1040539,0.0,,0.1598345400717205
Challenge Scope,True,#EventSummary,LinkedIn,APAC,Australia,1,265372,4856.0,0.0183,0.1437128191589548
Challenge Scope,True,#EventSummary,LinkedIn,Latin America,Brazil,1,203999,2957.0,0.0145,0.1631612300034534
Challenge Scope,True,#EventSummary,LinkedIn,North America,Canada,1,299980,6809.0,0.0227,0.1291267149054613
Challenge Scope,True,#FeatureHighlight,Instagram,Europe,Germany,2,594352,0.0,,0.10927360759308706
Challenge Scope,True,#FeatureHighlight,Instagram,North America,Canada,1,344075,0.0,,0.1307233517159937
Challenge Scope,True,#FeatureHighlight,LinkedIn,APAC,Japan,1,521862,0.0,,0.114742536865158
Challenge Scope,True,#FeatureHighlight,LinkedIn,Latin America,Brazil,1,366988,0.0,,0.1213359785029059
Challenge Scope,True,#FeatureHighlight,TikTok,APAC,Australia,2,938366,14971.0,0.0176,0.12091264161943069
Challenge Scope,True,#FeatureHighlight,TikTok,APAC,India,1,603038,8020.0,0.0133,0.1393561681529059
Challenge Scope,True,#FeatureHighlight,TikTok,Europe,Germany,1,595752,12034.0,0.0202,0.09232110849286283
Challenge Scope,True,#FeatureHighlight,TikTok,Europe,UK,1,379535,7135.0,0.0188,0.09433193055693494
Challenge Scope,True,#FeatureHighlight,TikTok,North America,Canada,1,576620,8533.0,0.0148,0.09106242512830846
Challenge Scope,True,#FeatureHighlight,TikTok,North America,USA,1,335527,4798.0,0.0143,0.1294125258624108
Challenge Scope,True,#FeatureHighlight,X (Twitter),APAC,India,2,1229754,0.0,,0.09685985162427319
Challenge Scope,True,#FeatureHighlight,X (Twitter),APAC,Japan,1,281005,0.0,,0.09463460108104628
Challenge Scope,True,#FeatureHighlight,X (Twitter),Europe,Germany,2,593775,0.0,,0.11437554373813827
Challenge Scope,True,#FeatureHighlight,X (Twitter),Europe,UK,1,397410,0.0,,0.1428525218333069
Challenge Scope,True,#FeatureHighlight,X (Twitter),North America,Canada,2,1078885,0.0,,0.1387947133616344
Challenge Scope,True,#FeatureHighlight,X (Twitter),North America,USA,1,229651,0.0,,0.1002922556337511
Challenge Scope,True,#FunContent,LinkedIn,APAC,India,1,777172,0.0,,0.0520470068914062
Challenge Scope,True,#FunContent,LinkedIn,APAC,Japan,1,679871,0.0,,0.06450515212006037
Challenge Scope,True,#FunContent,LinkedIn,Europe,Germany,2,888883,0.0,,0.0801189486178367
Challenge Scope,True,#FunContent,LinkedIn,Europe,UK,1,781908,0.0,,0.06377110938259153
Challenge Scope,True,#FunContent,LinkedIn,Latin America,Brazil,1,512925,0.0,,0.07384938178516098
Challenge Scope,True,#FunContent,LinkedIn,North America,USA,1,565341,0.0,,0.06203398643209845
Challenge Scope,True,#FunContent,TikTok,APAC,Australia,1,752848,14981.0,0.0199,0.08018008374024552
Challenge Scope,True,#FunContent,TikTok,APAC,India,1,799142,9829.0,0.0123,0.05661701327113461
Challenge Scope,True,#FunContent,TikTok,Europe,Germany,1,771432,12420.0,0.0161,0.09923824893778649
Challenge Scope,True,#FunContent,TikTok,Latin America,Brazil,1,791296,8704.0,0.011,0.08787088223944951
Challenge Scope,True,#FunContent,TikTok,North America,USA,1,805493,16512.0,0.0205,0.07428339613866605
Challenge Scope,True,#FunContent,X (Twitter),Europe,UK,1,500317,0.0,,0.05016952205046906
Challenge Scope,True,#FunContent,X (Twitter),North America,Canada,1,692349,0.0,,0.07863719529247774
Challenge Scope,True,#ProductDemo,Instagram,APAC,India,4,10972601,0.0,,0.10406481014792918
Challenge Scope,True,#ProductDemo,Instagram,APAC,Japan,2,3615572,0.0,,0.09421842614049172
Challenge Scope,True,#ProductDemo,Instagram,Europe,UK,2,5162682,0.0,,0.09487312862310066
Challenge Scope,True,#ProductDemo,Instagram,Latin America,Brazil,4,10751187,0.0,,0.09911415445797302
Challenge Scope,True,#ProductDemo,Instagram,North America,Canada,3,5254127,0.0,,0.1296141289931281
Challenge Scope,True,#ProductDemo,Instagram,North America,USA,3,9174362,0.0,,0.1055428745265451
Challenge Scope,True,#ProductDemo,TikTok,APAC,Australia,1,3213306,43379.0,0.0135,0.1290313839830158
Challenge Scope,True,#ProductDemo,TikTok,APAC,India,2,3096114,64260.0,0.02015,0.09193834511013635
Challenge Scope,True,#ProductDemo,TikTok,APAC,Japan,1,1606360,18794.0,0.0117,0.08030620990160697
Challenge Scope,True,#ProductDemo,TikTok,Europe,UK,1,1665449,24815.0,0.0149,0.1211245796331369
