scope_segment,is_challenge_scope,platform,post_type,content_type,promotion_type,posts,total_engagement,total_views,total_impressions,total_clicks,avg_engagement_rate,avg_ctr
Challenge Scope,True,Instagram,Image,Organic,Organic,17,1126256,5400107,6559412,0.0,0.20588126765632508,
Challenge Scope,True,Instagram,Image,Sponsored,Paid/Promoted,9,424310,2309233,2702975,0.0,0.18278037441997397,
Challenge Scope,True,Instagram,Live Stream,Organic,Organic,11,608835,3400331,4046300,0.0,0.17313549546169385,
Challenge Scope,True,Instagram,Video,Organic,Organic,20,4884619,41534211,50836341,0.0,0.1150282650481959,
Challenge Scope,True,Instagram,Video,Sponsored,Paid/Promoted,11,2699484,21437914,26205696,0.0,0.1346484945184319,
Challenge Scope,True,LinkedIn,Article,Organic,Organic,9,749617,6673569,7999623,152921.0,0.14983214331704328,0.017833333333333333
Challenge Scope,True,LinkedIn,Article,Sponsored,Paid/Promoted,4,499097,3495550,4383855,114634.0,0.1694692857568676,0.023450000000000002
Challenge Scope,True,LinkedIn,Carousel,Organic,Organic,5,427074,2562921,3026187,55337.0,0.1745729720496338,0.02416666666666667
Challenge Scope,True,LinkedIn,Carousel,Sponsored,Paid/Promoted,1,81721,381963,456018,10077.0,0.2139526498523149,0.0221
Challenge Scope,True,LinkedIn,Image,Organic,Organic,4,219174,1191926,1374863,0.0,0.18879980855608997,
Challenge Scope,True,LinkedIn,Live Stream,Organic,Organic,3,88563,619599,769351,14622.0,0.14533358802262317,0.0185
Challenge Scope,True,LinkedIn,PDF,Organic,Organic,3,125125,720403,864778,3711.0,0.18492260640679958,0.0143
Challenge Scope,True,LinkedIn,Text,Organic,Organic,1,34792,668479,777172,0.0,0.0520470068914062,
Challenge Scope,True,LinkedIn,Video,Organic,Organic,4,136346,2081771,2442660,0.0,0.065976104375564,
Challenge Scope,True,LinkedIn,Video,Sponsored,Paid/Promoted,2,62752,842960,986268,0.0,0.08024655472666434,
Challenge Scope,True,TikTok,Live Stream,Organic,Organic,14,691318,4597532,5472241,84518.0,0.15923786011679514,0.0165
Challenge Scope,True,TikTok,Video,Organic,Organic,34,4832351,33401870,40096461,712965.0,0.15184413262397375,0.01870294117647059
Challenge Scope,True,TikTok,Video,Sponsored,Paid/Promoted,19,3055702,20382719,24549917,403281.0,0.16399336985319835,0.015705263157894736
Challenge Scope,True,X (Twitter),Image,Organic,Organic,24,1079828,6114981,7365692,0.0,0.17627126330431764,
Challenge Scope,True,X (Twitter),Text,Organic,Organic,21,1157812,7210647,8565785,0.0,0.17321893834945443,
Challenge Scope,True,X (Twitter),Video,Organic,Organic,30,6181854,55154085,65944249,0.0,0.11292452049128157,
Full Workbook Only,False,Facebook,Image,Organic,Organic,27,4531691,34221838,41139820,913329.0,0.15522319291312578,0.020999999999999998
Full Workbook Only,False,Facebook,Image,Sponsored,Paid/Promoted,47,5878065,45310349,54133086,1255289.0,0.14986033604977464,0.021382978723404254
Full Workbook Only,False,Facebook,Live Stream,Organic,Organic,58,3728215,24283061,28811480,540689.0,0.15949186747606597,0.020005172413793102
Full Workbook Only,False,Facebook,Text,Organic,Organic,49,5920330,47849147,57514211,1136881.0,0.14281679205097209,0.02009591836734694
Full Workbook Only,False,Facebook,Text,Sponsored,Paid/Promoted,38,5617711,37700489,45117142,838420.0,0.1582110229341376,0.019044736842105264
Full Workbook Only,False,Facebook,Video,Organic,Organic,45,5912161,44210418,53742118,1123742.0,0.15620546736669452,0.020882222222222222
Full Workbook Only,False,Facebook,Video,Sponsored,Paid/Promoted,35,4113812,31744932,38160681,777791.0,0.14834119372984889,0.02075714285714286
Full Workbook Only,False,Instagram,Carousel,Organic,Organic,6,760730,5560082,6868842,0.0,0.14335152733505196,
Full Workbook Only,False,Instagram,Carousel,Sponsored,Paid/Promoted,1,124902,1655584,1919132,0.0,0.07544290038667278,
Full Workbook Only,False,Instagram,Image,Organic,Organic,243,12819788,64488017,77142226,0.0,0.19930105668506,
Full Workbook Only,False,Instagram,Image,Sponsored,Paid/Promoted,89,5092386,25449285,30549478,0.0,0.20176525945689805,
Full Workbook Only,False,Instagram,Live Stream,Organic,Organic,234,13060001,84265918,101300087,0.0,0.1474885359253768,
Full Workbook Only,False,Instagram,Video,Organic,Organic,268,71514405,550627241,659649668,0.0,0.12933482759354295,
Full Workbook Only,False,Instagram,Video,Sponsored,Paid/Promoted,89,21622670,178797828,214083804,0.0,0.12182029442686647,
Full Workbook Only,False,LinkedIn,Article,Organic,Organic,141,18437778,134741542,160584774,3231343.0,0.1526051449609087,0.01989148936170213
Full Workbook Only,False,LinkedIn,Article,Sponsored,Paid/Promoted,53,5729126,44581327,53763432,1128956.0,0.14645525447957658,0.019515094339622643
Full Workbook Only,False,LinkedIn,Carousel,Organic,Organic,30,3668911,26890954,32168934,455145.0,0.14154922302345843,0.01884375
Full Workbook Only,False,LinkedIn,Carousel,Sponsored,Paid/Promoted,8,602872,5267113,6548086,124757.0,0.14135524053939508,0.0205
Full Workbook Only,False,LinkedIn,Image,Organic,Organic,51,2987905,15076318,18305382,0.0,0.196899985160738,
Full Workbook Only,False,LinkedIn,Image,Sponsored,Paid/Promoted,16,789764,3774667,4497347,0.0,0.2051301569777999,
Full Workbook Only,False,LinkedIn,Live Stream,Organic,Organic,51,2803466,18916965,22958411,441211.0,0.15566130119757066,0.019858823529411762
Full Workbook Only,False,LinkedIn,Live Stream,Sponsored,Paid/Promoted,14,442212,3749953,4552069,93622.0,0.11731551168237091,0.01949285714285714
Full Workbook Only,False,LinkedIn,PDF,Organic,Organic,12,1520105,10369484,12475574,26693.0,0.16869147935183323,0.017933333333333332
Full Workbook Only,False,LinkedIn,PDF,Sponsored,Paid/Promoted,1,235499,981296,1132218,0.0,0.2399879575163858,
Full Workbook Only,False,LinkedIn,Text,Organic,Organic,14,837906,9892135,11963131,0.0,0.08723512151512594,
Full Workbook Only,False,LinkedIn,Text,Sponsored,Paid/Promoted,4,222860,2349891,2812157,0.0,0.09148720122826498,
Full Workbook Only,False,LinkedIn,Video,Organic,Organic,70,3077337,34583028,41339341,0.0,0.08930164090362085,
Full Workbook Only,False,LinkedIn,Video,Sponsored,Paid/Promoted,24,951422,10166959,12254687,0.0,0.09277876623972932,
Full Workbook Only,False,TikTok,Live Stream,Organic,Organic,246,13166691,88589656,106841038,1824666.0,0.1496301713353777,0.017428861788617883
Full Workbook Only,False,TikTok,Video,Organic,Organic,715,94560032,711497708,854356456,15211691.0,0.15381720790976158,0.017653566433566432
Full Workbook Only,False,TikTok,Video,Sponsored,Paid/Promoted,229,30340250,229470304,276380238,4730885.0,0.15521450096845305,0.017295196506550217
Full Workbook Only,False,X (Twitter),Image,Organic,Organic,465,22863191,148210726,177828407,0.0,0.1637483997309788,
Full Workbook Only,False,X (Twitter),Text,Organic,Organic,331,16803930,108070710,129261369,0.0,0.1654215493159026,
Full Workbook Only,False,X (Twitter),Video,Organic,Organic,330,85186781,674896003,808935703,0.0,0.12546878954408,
Full Workbook Only,False,YouTube,Image,Organic,Organic,3,766027,6108052,7303550,0.0,0.13581831669593203,
Full Workbook Only,False,YouTube,Image,Sponsored,Paid/Promoted,1,23308,102952,130007,0.0,0.2264003200546371,
Full Workbook Only,False,YouTube,Live Stream,Organic,Organic,293,17583694,121328796,145876326,0.0,0.14865864390929215,
Full Workbook Only,False,YouTube,Video,Organic,Organic,764,98699162,741388790,887103429,0.0,0.15197971076244143,
Full Workbook Only,False,YouTube,Video,Sponsored,Paid/Promoted,259,34327716,258922945,311626059,0.0,0.1547208099233456,
