scope_segment,is_challenge_scope,platform,published_day_of_week,published_day_sort,post_hour,posts,avg_engagement,avg_views,avg_engagement_rate,avg_ctr
Challenge Scope,True,Instagram,Friday,5,8,1,50821.0,256933.0,0.1977995082764372,
Challenge Scope,True,Instagram,Friday,5,10,1,147268.0,2405621.0,0.06121864523520034,
Challenge Scope,True,Instagram,Friday,5,12,2,54357.5,341461.0,0.15858822333123718,
Challenge Scope,True,Instagram,Friday,5,14,1,270216.0,1696583.0,0.1592708695611798,
Challenge Scope,True,Instagram,Friday,5,16,1,145114.0,1534148.0,0.0945898359820639,
Challenge Scope,True,Instagram,Friday,5,18,1,65176.0,264575.0,0.2463457887161174,
Challenge Scope,True,Instagram,Monday,1,10,6,66816.5,336821.8333333333,0.19142569285805033,
Challenge Scope,True,Instagram,Monday,1,11,1,62012.0,286367.0,0.2165492617680306,
Challenge Scope,True,Instagram,Monday,1,13,2,110059.0,1306991.5,0.12400556752135568,
Challenge Scope,True,Instagram,Monday,1,15,1,368301.0,1600431.0,0.2301266035089646,
Challenge Scope,True,Instagram,Monday,1,16,1,85281.0,1314748.0,0.06486495366609579,
Challenge Scope,True,Instagram,Monday,1,17,1,39310.0,190145.0,0.206739511436696,
Challenge Scope,True,Instagram,Monday,1,18,2,152387.5,1197406.0,0.1534693163783078,
Challenge Scope,True,Instagram,Saturday,6,10,1,155764.0,2417710.0,0.06442645477466157,
Challenge Scope,True,Instagram,Saturday,6,14,2,35347.5,221920.5,0.15834865771592885,
Challenge Scope,True,Instagram,Saturday,6,15,3,234914.0,1699016.6666666667,0.14886666031670182,
Challenge Scope,True,Instagram,Saturday,6,17,3,177872.66666666666,1512492.6666666667,0.1359252994562333,
Challenge Scope,True,Instagram,Saturday,6,18,1,40977.0,245901.0,0.1666435597577106,
Challenge Scope,True,Instagram,Sunday,7,10,3,73646.33333333333,321434.3333333333,0.22285780841429256,
Challenge Scope,True,Instagram,Sunday,7,11,1,104630.0,1249895.0,0.08371174080836649,
Challenge Scope,True,Instagram,Sunday,7,12,1,213704.0,2347104.0,0.09105041112785937,
Challenge Scope,True,Instagram,Sunday,7,13,1,282913.0,2845845.0,0.09941270315315194,
Challenge Scope,True,Instagram,Sunday,7,14,1,110278.0,559654.0,0.197048425857921,
Challenge Scope,True,Instagram,Sunday,7,15,1,241479.0,2457677.0,0.09825525824417887,
Challenge Scope,True,Instagram,Sunday,7,16,2,230803.0,1033494.0,0.2218896246006105,
Challenge Scope,True,Instagram,Sunday,7,17,3,59447.0,333051.0,0.19986676740806475,
Challenge Scope,True,Instagram,Thursday,4,10,1,207001.0,2292203.0,0.09030667217669128,
Challenge Scope,True,Instagram,Thursday,4,11,3,123362.0,863886.3333333334,0.1776451826848032,
Challenge Scope,True,Instagram,Thursday,4,12,1,65715.0,334707.0,0.1963361364974116,
Challenge Scope,True,Instagram,Thursday,4,14,1,153395.0,1603839.0,0.09564276690966855,
Challenge Scope,True,Instagram,Thursday,4,16,1,63024.0,259175.0,0.2431736438731302,
Challenge Scope,True,Instagram,Thursday,4,17,3,225024.0,1644822.6666666667,0.14996094635455517,
Challenge Scope,True,Instagram,Thursday,4,19,1,27904.0,196024.0,0.1423545283767987,
Challenge Scope,True,Instagram,Tuesday,2,10,1,22000.0,116399.0,0.1890069516828997,
Challenge Scope,True,Instagram,Tuesday,2,11,1,526827.0,2338492.0,0.225284928538354,
