scope_segment,is_challenge_scope,region,country,content_category,platform,posts,total_engagement,total_impressions,total_clicks,avg_engagement_rate,avg_ctr
Challenge Scope,True,APAC,Australia,Customer Story,Instagram,1,22000,143734,0.0,0.1890069516828997,
Challenge Scope,True,APAC,Australia,Customer Story,LinkedIn,1,24706,143734,1566.0,0.2122557328326302,0.0109
Challenge Scope,True,APAC,Australia,Customer Story,TikTok,1,70156,446305,6382.0,0.2027369114854419,0.0143
Challenge Scope,True,APAC,Australia,Customer Story,X (Twitter),1,73433,335286,0.0,0.2435938165367583,
Challenge Scope,True,APAC,Australia,Educational,Instagram,3,140850,912672,0.0,0.1896800566803555,
Challenge Scope,True,APAC,Australia,Educational,LinkedIn,3,115428,699970,12144.0,0.18849380894804138,0.01795
Challenge Scope,True,APAC,Australia,Educational,TikTok,1,440650,2401906,37229.0,0.2135568998956063,0.0155
Challenge Scope,True,APAC,Australia,Educational,X (Twitter),3,140032,876707,0.0,0.1976702626282174,
Challenge Scope,True,APAC,Australia,Entertainment,Instagram,3,337179,6078221,0.0,0.06993177990322087,
Challenge Scope,True,APAC,Australia,Entertainment,TikTok,1,53610,752848,14981.0,0.08018008374024552,0.0199
Challenge Scope,True,APAC,Australia,Entertainment,X (Twitter),1,124543,2278384,0.0,0.06883808016199447,
Challenge Scope,True,APAC,Australia,Event / Webinar,Instagram,1,27904,238228,0.0,0.1423545283767987,
Challenge Scope,True,APAC,Australia,Event / Webinar,LinkedIn,1,30424,265372,4856.0,0.1437128191589548,0.0183
Challenge Scope,True,APAC,Australia,Event / Webinar,TikTok,1,41204,282286,5786.0,0.1652840562095291,0.0205
Challenge Scope,True,APAC,Australia,Product Promotion,TikTok,3,449914,4151672,58350.0,0.12361888907395907,0.016233333333333332
Challenge Scope,True,APAC,Australia,Product Promotion,X (Twitter),5,983053,10329247,0.0,0.11667783267802082,
Challenge Scope,True,APAC,India,Customer Story,Instagram,1,52836,332558,0.0,0.1756961961150151,
Challenge Scope,True,APAC,India,Customer Story,LinkedIn,1,56591,274606,6151.0,0.2427412532706293,0.0224
Challenge Scope,True,APAC,India,Customer Story,TikTok,1,46817,281647,6477.0,0.1994026859395435,0.023
Challenge Scope,True,APAC,India,Customer Story,X (Twitter),4,142606,937235,0.0,0.19437847739381486,
Challenge Scope,True,APAC,India,Educational,TikTok,6,617815,3357846,72230.0,0.20720921994888464,0.018083333333333333
Challenge Scope,True,APAC,India,Educational,X (Twitter),1,36819,211557,0.0,0.2181100755709851,
Challenge Scope,True,APAC,India,Entertainment,LinkedIn,1,34792,777172,0.0,0.0520470068914062,
Challenge Scope,True,APAC,India,Entertainment,TikTok,2,214603,2947458,49143.0,0.07307733691881375,0.015300000000000001
Challenge Scope,True,APAC,India,Entertainment,X (Twitter),3,205013,2750510,0.0,0.07904389386968914,
Challenge Scope,True,APAC,India,Event / Webinar,TikTok,1,41752,384077,7489.0,0.1229313818858895,0.0195
Challenge Scope,True,APAC,India,Event / Webinar,X (Twitter),2,53422,432532,0.0,0.1442229498575146,
Challenge Scope,True,APAC,India,Product Promotion,Instagram,4,918158,10972601,0.0,0.10406481014792918,
Challenge Scope,True,APAC,India,Product Promotion,TikTok,3,301755,3699152,72280.0,0.10774428612439287,0.017866666666666666
Challenge Scope,True,APAC,India,Product Promotion,X (Twitter),2,94061,1229754,0.0,0.09685985162427319,
Challenge Scope,True,APAC,Japan,Customer Story,TikTok,1,50147,318441,7387.0,0.1979753044079949,0.0232
Challenge Scope,True,APAC,Japan,Educational,Instagram,1,43438,300158,0.0,0.1629979055520371,
Challenge Scope,True,APAC,Japan,Educational,TikTok,4,660106,3745432,60793.0,0.2006408917614652,0.015475
Challenge Scope,True,APAC,Japan,Educational,X (Twitter),5,951921,5206505,0.0,0.20725408328016154,
Challenge Scope,True,APAC,Japan,Entertainment,LinkedIn,1,37210,679871,0.0,0.06450515212006037,
Challenge Scope,True,APAC,Japan,Event / Webinar,Instagram,1,73014,510819,0.0,0.1734422945702626,
