scope_segment,is_challenge_scope,region,country,platform,posts,total_video_views,total_live_stream_views,avg_video_views,avg_live_stream_views
Challenge Scope,True,APAC,Australia,Instagram,8,4970264,209622,621283.0,26202.75
Challenge Scope,True,APAC,Australia,LinkedIn,5,0,1124756,0.0,224951.2
Challenge Scope,True,APAC,Australia,TikTok,7,6464792,291458,923541.7142857143,41636.857142857145
Challenge Scope,True,APAC,Australia,X (Twitter),10,10230219,0,1023021.9,0.0
Challenge Scope,True,APAC,India,Instagram,5,8826925,0,1765385.0,0.0
Challenge Scope,True,APAC,India,LinkedIn,2,0,0,0.0,0.0
Challenge Scope,True,APAC,India,TikTok,13,8103832,599493,623371.6923076923,46114.846153846156
Challenge Scope,True,APAC,India,X (Twitter),12,2388573,0,199047.75,0.0
Challenge Scope,True,APAC,Japan,Instagram,4,2977158,186799,744289.5,46699.75
Challenge Scope,True,APAC,Japan,LinkedIn,3,506822,0,168940.66666666666,0.0
Challenge Scope,True,APAC,Japan,TikTok,7,4205367,216640,600766.7142857143,30948.571428571428
Challenge Scope,True,APAC,Japan,X (Twitter),8,8749124,0,1093640.5,0.0
Challenge Scope,True,Europe,Germany,Instagram,7,0,1371152,0.0,195878.85714285713
Challenge Scope,True,Europe,Germany,LinkedIn,4,653496,0,163374.0,0.0
Challenge Scope,True,Europe,Germany,TikTok,7,4105528,459980,586504.0,65711.42857142857
Challenge Scope,True,Europe,Germany,X (Twitter),5,2647646,0,529529.2,0.0
Challenge Scope,True,Europe,UK,Instagram,13,11573307,452916,890254.3846153846,34839.692307692305
Challenge Scope,True,Europe,UK,LinkedIn,7,587566,0,83938.0,0.0
Challenge Scope,True,Europe,UK,TikTok,11,4909399,622393,446309.0,56581.181818181816
Challenge Scope,True,Europe,UK,X (Twitter),11,2070947,0,188267.9090909091,0.0
Challenge Scope,True,Latin America,Brazil,Instagram,11,14104690,565565,1282244.5454545454,51415.0
Challenge Scope,True,Latin America,Brazil,LinkedIn,7,370821,219615,52974.42857142857,31373.571428571428
Challenge Scope,True,Latin America,Brazil,TikTok,6,3419358,319500,569893.0,53250.0
Challenge Scope,True,Latin America,Brazil,X (Twitter),9,6527336,0,725259.5555555555,0.0
Challenge Scope,True,North America,Canada,Instagram,12,10683210,750769,890267.5,62564.083333333336
Challenge Scope,True,North America,Canada,LinkedIn,4,0,1721316,0.0,430329.0
Challenge Scope,True,North America,Canada,TikTok,8,8372292,0,1046536.5,0.0
Challenge Scope,True,North America,Canada,X (Twitter),13,11312204,0,870169.5384615385,0.0
Challenge Scope,True,North America,USA,Instagram,8,9836571,0,1229571.375,0.0
Challenge Scope,True,North America,USA,LinkedIn,4,450941,0,112735.25,0.0
Challenge Scope,True,North America,USA,TikTok,8,12089948,0,1511243.5,0.0
Challenge Scope,True,North America,USA,X (Twitter),7,11228036,0,1604005.142857143,0.0
Full Workbook Only,False,APAC,Australia,Facebook,33,13590400,2691916,411830.30303030304,81573.21212121213
Full Workbook Only,False,APAC,Australia,Instagram,117,86279337,6879812,737430.2307692308,58801.81196581197
Full Workbook Only,False,APAC,Australia,LinkedIn,72,2239143,6090567,31099.208333333332,84591.20833333333
Full Workbook Only,False,APAC,Australia,TikTok,137,103148835,4990970,752911.204379562,36430.437956204376
Full Workbook Only,False,APAC,Australia,X (Twitter),133,90456293,0,680122.5037593985,0.0
Full Workbook Only,False,APAC,Australia,YouTube,157,132287724,41828126,842596.9681528662,266421.1847133758
Full Workbook Only,False,APAC,India,Facebook,39,11132542,1119163,285449.7948717949,28696.48717948718
Full Workbook Only,False,APAC,India,Instagram,120,105721211,8618046,881010.0916666667,71817.05
Full Workbook Only,False,APAC,India,LinkedIn,62,6899193,8313145,111277.30645161291,134082.98387096773
Full Workbook Only,False,APAC,India,TikTok,133,90932078,5513020,683699.8345864662,41451.278195488725
Full Workbook Only,False,APAC,India,X (Twitter),151,65633452,0,434658.6225165563,0.0
Full Workbook Only,False,APAC,India,YouTube,154,113496808,42895299,736992.2597402597,278540.9025974026
Full Workbook Only,False,APAC,Japan,Facebook,34,8190153,3626985,240886.85294117648,106676.0294117647
Full Workbook Only,False,APAC,Japan,Instagram,89,77877148,5519131,875024.1348314607,62012.70786516854
Full Workbook Only,False,APAC,Japan,LinkedIn,68,5178674,3686126,76156.9705882353,54207.73529411765
Full Workbook Only,False,APAC,Japan,TikTok,168,142129893,5787528,846011.2678571428,34449.57142857143
Full Workbook Only,False,APAC,Japan,X (Twitter),133,79023904,0,594164.6917293234,0.0
Full Workbook Only,False,APAC,Japan,YouTube,152,128410650,37959290,844806.9078947369,249732.17105263157
Full Workbook Only,False,Europe,Germany,Facebook,38,10019775,6335077,263678.2894736842,166712.55263157896
Full Workbook Only,False,Europe,Germany,Instagram,123,89183207,8504995,725066.7235772358,69146.30081300813
Full Workbook Only,False,Europe,Germany,LinkedIn,46,7013384,3333212,152464.86956521738,72461.13043478261
Full Workbook Only,False,Europe,Germany,TikTok,138,111084227,4709246,804958.1666666666,34124.97101449275
Full Workbook Only,False,Europe,Germany,X (Twitter),110,75537203,0,686701.8454545455,0.0
Full Workbook Only,False,Europe,Germany,YouTube,149,115501562,55191191,775178.2684563758,370410.677852349
Full Workbook Only,False,Europe,UK,Facebook,45,10971088,1777981,243801.95555555556,39510.688888888886
Full Workbook Only,False,Europe,UK,Instagram,106,80550317,8489343,759908.6509433963,80088.14150943396
Full Workbook Only,False,Europe,UK,LinkedIn,60,3506899,4994712,58448.316666666666,83245.2
Full Workbook Only,False,Europe,UK,TikTok,164,117772198,5331864,718123.1585365854,32511.365853658535
Full Workbook Only,False,Europe,UK,X (Twitter),134,78445850,0,585416.7910447761,0.0
Full Workbook Only,False,Europe,UK,YouTube,181,126563727,49273963,699247.1104972375,272231.8397790055
Full Workbook Only,False,Latin America,Brazil,Facebook,38,10402295,3220816,273744.6052631579,84758.31578947368
Full Workbook Only,False,Latin America,Brazil,Instagram,118,101755394,10625153,862333.8474576271,90043.66949152542
Full Workbook Only,False,Latin America,Brazil,LinkedIn,59,5018198,1761432,85054.20338983051,29854.77966101695
Full Workbook Only,False,Latin America,Brazil,TikTok,154,118656953,6501652,770499.6948051949,42218.51948051948
Full Workbook Only,False,Latin America,Brazil,X (Twitter),148,82875832,0,559971.8378378379,0.0
Full Workbook Only,False,Latin America,Brazil,YouTube,168,111628933,42999988,664457.9345238095,255952.30952380953
Full Workbook Only,False,North America,Canada,Facebook,36,9016452,3610979,250457.0,100304.97222222222
Full Workbook Only,False,North America,Canada,Instagram,141,105316759,9550139,746927.3687943262,67731.48226950354
Full Workbook Only,False,North America,Canada,LinkedIn,64,5639377,3137414,88115.265625,49022.09375
Full Workbook Only,False,North America,Canada,TikTok,151,106164976,5448315,703079.3112582781,36081.55629139073
Full Workbook Only,False,North America,Canada,X (Twitter),132,77366621,0,586110.7651515151,0.0
Full Workbook Only,False,North America,Canada,YouTube,174,113828532,44909201,654186.9655172414,258098.8563218391
Full Workbook Only,False,North America,USA,Facebook,36,1486501,2712821,41291.694444444445,75356.13888888889
Full Workbook Only,False,North America,USA,Instagram,116,82741696,9198309,713290.4827586206,79295.7672413793
Full Workbook Only,False,North America,USA,LinkedIn,58,3822145,3429664,65899.05172413793,59132.137931034486
Full Workbook Only,False,North America,USA,TikTok,145,123895887,4509460,854454.3931034483,31099.724137931036
Full Workbook Only,False,North America,USA,X (Twitter),185,125556848,0,678685.6648648649,0.0
Full Workbook Only,False,North America,USA,YouTube,185,143102521,55124984,773527.1405405406,297972.8864864865
